title,developer,rating,installs,id
"Uxcel: Learn UX design, PM, AI",Uxcel,4.4,100.000+,com.uxcel.app
ProApp : Learn UX UI Design,ProApp - Learn Design,4.4,100.000+,app.design.learn
Figma: view. comment. mirror.,Figma Inc.,4.4,5.000.000+,com.figma.mirror
UX Design Course - ProApp,ProApp - Learn Design,5.0,10.000+,app.design.learn.uxdesign.proapp.course.online.coursera.udemy.ui.ux.userexperience.researcher.interface.website.lean
UX Design for Mobile Course,ProApp - Learn Design,,1.000+,app.design.learn.mobileuxdesign.proapp.course.online.apps.android.ios.coursera.udemy.skillshare.ui.ux.interface
X-Design - Agente de IA para,Starii Tech Pty Ltd,4.4,50.000+,com.starii.xdesign
UX Design,Softecks,,1.000+,in.softecks.uxdesign
X Decks – Cartas de UX/UI,GCosta Apps,5.0,500+,gcostaapps.app.xdecks
MaterialX - Material Design UI,Dream Space,4.6,100.000+,com.material.components
UX/UI Hub,Vitamina K,4.2,1.000+,design.vitaminak.uxevents.A01F2XM4K2XDKVKGPK9RQT7PRNF
"UXNESS - UX Design, UX Course",UXness,,1.000+,com.uxness.app
Android Material UI/UX,BOLT UIX,,10.000+,com.boltuix.materialuiux
Canva: editor de fotos e vídeo,Canva,4.9,500.000.000+,com.canva.editor
UX Led: Icon Pack (Pro),SLJ DESIGNS,3.8,10.000+,skr.susanta.uxled
Learn UX UI Design Bangla,Naem_Coder,,1.000+,com.naemcoder.banglauiuxdesign
