title,developer,rating,ratings_count,id,url
Adobe Illustrator: Graphic Art,Adobe Inc.,4.5,1895,1018784575,https://apps.apple.com/br/app/adobe-illustrator-graphic-art/id1018784575?uo=4
Casa e Decoração de Interiores,Room Planner Ltd,4.8,20468,1076159017,https://apps.apple.com/br/app/casa-e-decora%C3%A7%C3%A3o-de-interiores/id1076159017?uo=4
Redecor - Home Design Game,Reworks,4.8,6829,1413287364,https://apps.apple.com/br/app/redecor-home-design-game/id1413287364?uo=4
Design Home™: Reforma de Casas,Crowdstar LLC,4.7,10458,1010962391,https://apps.apple.com/br/app/design-home-reforma-de-casas/id1010962391?uo=4
Ilustrador - Linearity Curve,Linearity GmbH,4.7,1115,1219074514,https://apps.apple.com/br/app/ilustrador-linearity-curve/id1219074514?uo=4
Canva: editor de fotos e vídeo,Canva,4.9,2747500,897446215,https://apps.apple.com/br/app/canva-editor-de-fotos-e-v%C3%ADdeo/id897446215?uo=4
Keyplan 3D Lite - Home design,Quasarts LLC,4.7,12626,983655856,https://apps.apple.com/br/app/keyplan-3d-lite-home-design/id983655856?uo=4
Planner 5D: Design de casa 3D,"Planner5D, UAB",4.7,14785,606173978,https://apps.apple.com/br/app/planner-5d-design-de-casa-3d/id606173978?uo=4
Home Design Makeover,Storm8 Studios,4.6,12003,1339938732,https://apps.apple.com/br/app/home-design-makeover/id1339938732?uo=4
Impresso: Video Design Studio,Pixery Bilgi Teknolojileri,4.9,16027,1330592794,https://apps.apple.com/br/app/impresso-video-design-studio/id1330592794?uo=4
AI Logo Maker: Criar Logomarca,Whistle Studios LLC,4.7,23132,1143390028,https://apps.apple.com/br/app/ai-logo-maker-criar-logomarca/id1143390028?uo=4
Live Home 3D: Projeto de casa,"Belight Software, ltd",4.8,1744,1066784070,https://apps.apple.com/br/app/live-home-3d-projeto-de-casa/id1066784070?uo=4
Irmãos à Obra: Hora da Reforma,Storm8 Studios,4.8,82848,1466332776,https://apps.apple.com/br/app/irm%C3%A3os-%C3%A0-obra-hora-da-reforma/id1466332776?uo=4
House Flipper Home Design,PLAYWAY SPOLKA AKCYJNA,4.8,76025,1517373437,https://apps.apple.com/br/app/house-flipper-home-design/id1517373437?uo=4
Minha Casa - Sonhos de Design,ZenLife Games Pte. Ltd.,4.7,131517,1413668881,https://apps.apple.com/br/app/minha-casa-sonhos-de-design/id1413668881?uo=4
Wordington: Word Find & Design,Qiiwi Games AB,4.3,1754,1437273344,https://apps.apple.com/br/app/wordington-word-find-design/id1437273344?uo=4
"Logomarca, criar logo,logotipo",Logo Maker LLC,4.7,13265,950802372,https://apps.apple.com/br/app/logomarca-criar-logo-logotipo/id950802372?uo=4
Arch - AI Interior Design,APPNATION YAZILIM HIZMETLERI TICARET ANONIM SIRKETI,4.8,2898,6446172225,https://apps.apple.com/br/app/arch-ai-interior-design/id6446172225?uo=4
Merge Hotel Empire－Design Game,Moon Active,4.8,10676,1577970257,https://apps.apple.com/br/app/merge-hotel-empire-design-game/id1577970257?uo=4
