author,rating,title,content,votes,date
Carolcfscarol,1,Video promocional,"Tem um vídeo promocional que assistimos para ganhar diamantes que ele não libera os mesmos. Já perdi com isso mais de 45 diamantes. Inclusive, Preciso fechar o jogo e reabrí-lo para continuar jogando.",0,2025-05-09T03:37:52-07:00
Dubusu,3,Travou,"É muito bom, mas o meu travou, já tentei reiniciar mas não adiantou.",0,2025-05-05T16:20:07-07:00
_Dai08,2,Decepcionante,"O estilo é maravilhoso e bem leve de jogar, mas o que você recebe pra gastar e os valores dos móveis são incompatíveis, o que te trava por dias até conseguir o valor pra jogar de novo. Por isso já desinstalei várias vezes.",0,2025-05-05T07:26:26-07:00
Luolialves,1,Developers are destroying the game,"The game used to be fun, but now it’s getting worse and worse, bad new features, elite challenges are not worthy anymore, voting system got worse and they keep the decisions even though users are complaining, I’m going to spend time with things that are worthy!",0,2025-05-03T18:37:56-07:00
monique cardoso,1,Muito caro,"A última atualização deixou a votação muito bagunçada. Além disso, tudo é muito caro, as recompensas deveria ser maiores, pois demora muito passar de nível por causa disso.",0,2025-04-11T04:48:58-07:00
CamiBarp,1,TUDO TEM QUE GASTAR DINHEIRO!,Extremamente limitado para jogar! Tem que ficar comprando os móveis e vc nunca ganha dinheiro o suficiente com o próprio jogo! Ter que pagar pra jogar joguinho de decoração é o cúmulo!,0,2025-03-18T04:07:30-07:00
Carol_MT,2,Os anúncios da apple não pagam diamantes,Assisto os anúncios da Apple mas nunca bonifica diamantes. O o jogo trava! Horrível,0,2025-03-17T10:21:57-07:00
Marcel Omar miguel,5,Ameiiii,É legal divertido,0,2025-03-04T10:10:03-07:00
bbcloeabhj,1,Travando,"Acabei de instalar e comprar diamantes, na tela seguinte o jogo travou e não destrava. Já instalei e desinstalei e nada funciona.",0,2025-02-23T06:58:29-07:00
anaburger,3,O jogo é ótimo porém ROUBO,"É um jogo lindo e super engajante, porém, segue o capitalismo muito a risca! Você não ganha dinheiro o suficiente nos desafios para suprir a compra dos móveis, todos os itens são muito caros! O que meio que te obrigada a gastar dinheiro real com o jogo",0,2025-02-20T08:05:20-07:00
Livia❤️‍🩹,2,Falta de recursos,"No começo o jogo é maravilhoso, você não consegue parar de jogar, mas começa a ficar sem sentido, você gasta muito mais do que ganha nos desafios e chega um momento em que você não consegue mais jogar porque com o seu saldo não dá para pagar móveis e não tem como, só se gastar com seu próprio dinheiro, NÃO RECOMENDO",0,2025-02-15T11:27:05-07:00
Marie Brito,1,Diamonds,"The game is giving less and less diamonds each time they come up with a new idea! Now is the month design pass! It started with 5000 diamonds, and then 4000 and now 2000 diamonds! And now we can barely buy any rug for less than 2.100 diamonds!",0,2025-02-14T03:56:00-07:00
MáMZ,1,Atualização,A nova atualização ficou horrorosa!,0,2025-01-28T14:24:10-07:00
feroliiiveira,2,A lot of bugs lately,I've been playing the game for a long time and I love it! We can see that you're always upgrading the app to improve our experience. The thing that I still miss a lot in it is the possibility to give back things that we buy on mistake. It's really annoying cause sometimes we just touch sth unintentionally and we loose lots of money or diamonds. It would be amazing to be able to fix some mistakes.,0,2025-01-27T08:44:55-07:00
lipjonvct,4,Dificuldade de jogabilidade,Sinceramente acho que querem que tenhamos dificuldade na hora de comprar os itens. Além de não ter um filtro que separe os produtos que são comprados em moedas ou diamantes  ainda tornaram o ícone de ambos na cor preta que dificulta numa procura rápida identificar se é de moeda ou diamante. Poderiam melhorar isso já que nunca fizeram nada sobre a dificuldade em conseguir mais moedas e diamantes.,0,2025-01-18T07:10:44-07:00
