title,developer,rating,installs,id
Canva: editor de fotos e vídeo,Canva,4.9,500.000.000+,com.canva.editor
Design Home™: Reforma de Casas,Crowdstar Inc,4.3,50.000.000+,com.crowdstar.covetHome
Microsoft Designer,Microsoft Corporation,3.7,1.000.000+,com.microsoft.designer
Planner 5D - projetos de casa,Planner 5D,4.7,10.000.000+,com.planner5d.planner5d
Infinite Design,Infinite Studio LLC,4.4,10.000.000+,com.brakefield.idfree
Desygner: Crie Design Gráficos,Desygner Pty Ltd,4.8,5.000.000+,com.delgeo.desygner
Home Design Makeover,Storm8 Studios,4.6,10.000.000+,in.loop.hdmakeover
Concepts: Esboce/anote/desenhe,"TopHatch, Inc.",4.3,5.000.000+,com.tophatch.concepts
Room Planner: Remodelar Casa,Room Planner Ltd,4.7,10.000.000+,com.icandesignapp.all
Home Design Star,NSTAGE,4.3,1.000.000+,com.cookapps.redesignstar.homemakeover
Adobe Express: IA Foto y Video,Adobe,4.7,100.000.000+,com.adobe.spark.post
Live Home 3D: Projeto de casa,Belight Software,4.4,500.000+,com.belightsoft.livehome3d
Redecor - Home Design Game,Reworks Ltd.,4.5,10.000.000+,fi.reworks.redecor
House Flipper: Home Design,PlayWay SA,4.8,50.000.000+,com.imaginalis.HouseFlipperMobile
Decor Life - Design de casa,SayGames Ltd,4.4,100.000.000+,com.decor.life
Home Design 3D,Anuman,4.5,10.000.000+,fr.anuman.HomeDesign3D
Minha Casa - Sonhos de Design,ZenLife Games Ltd,4.4,100.000.000+,com.spacegame.homedesign
"Fluer: Design, Vídeo com IA",Fluer,4.2,100.000+,com.fluer.app
Irmãos à Obra: Hora da Reforma,Storm8 Studios,4.7,10.000.000+,com.storm8.propertybrothers
Venue: Relaxing Design Game,Superbloom,4.8,1.000.000+,com.superbloomgames.atable
