"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Juniorxxxxx","https://itunes.apple.com/br/reviews/id1865037158","1","Não funciona","Ao realizar cadastro o app diz que meu cep não existe","0","2025-12-08T18:12:23-07:00","13492021565","13.45.27","0","5","Mais votadas"
"Pepebristot","https://itunes.apple.com/br/reviews/id654373779","5","App intuitivo","estou começando a usar a coinbase, me pareceu bastante simples o uso, com boas funcionalidades.","0","2025-12-08T10:15:18-07:00","13490771950","13.44.24","0","5","Mais votadas"
"Imperador 09","https://itunes.apple.com/br/reviews/id1611323138","5","Excelente","Excelente","0","2025-11-25T04:50:08-07:00","13439170838","13.43.25","0","5","Mais votadas"
"Canidaka","https://itunes.apple.com/br/reviews/id1686918517","5","Excelente","Gostei bastante, bem simplificada.","0","2025-11-27T07:18:57-07:00","13447185468","13.43.25","0","5","Mais votadas"
"Thiago M Silva","https://itunes.apple.com/br/reviews/id1172359133","4","Experiência somente no navegador","O app nunca mais abriu normalmente. Só consigo navegar pelo safari, mesmo abrindo o app.","0","2025-11-27T12:34:15-07:00","13448163508","13.43.25","0","5","Mais votadas"
"mcbr62","https://itunes.apple.com/br/reviews/id141027650","5","Satisfação","App excelente para se operar","0","2025-11-27T16:06:39-07:00","13448681041","13.43.25","0","5","Mais votadas"
"Marconjrc","https://itunes.apple.com/br/reviews/id1583564256","5","Marco","Bom de usar","0","2025-11-28T09:23:54-07:00","13451416767","13.43.25","0","5","Mais votadas"
"Diogo Couto","https://itunes.apple.com/br/reviews/id372159675","5","Excelente","Rápida e precisa exchange","0","2025-11-28T12:10:57-07:00","13451950178","13.43.25","0","5","Mais votadas"
"Bigdaddy6195","https://itunes.apple.com/br/reviews/id1161093225","5","TOP","Great interface. Swift withdrawal. Coinbase is goated","0","2025-11-29T10:45:44-07:00","13455737144","13.43.26","0","5","Mais votadas"
"Fsspronto","https://itunes.apple.com/br/reviews/id140651944","5","Facilidade","Fiz o cadastro na Binance e não consegui fazer o que fiz aqui em 2min! Parabéns","0","2025-11-30T06:09:17-07:00","13458755547","13.43.26","0","5","Mais votadas"
"Teco71","https://itunes.apple.com/br/reviews/id1573609250","5","Coinbase","A melhor quando se fala de criptomoedas.","0","2025-12-01T10:13:58-07:00","13463481207","13.43.26","0","5","Mais votadas"
"Ianjsilva","https://itunes.apple.com/br/reviews/id640732635","5","Bem intuitivo app","Muito bom","0","2025-12-02T09:39:02-07:00","13467244935","13.44.24","0","5","Mais votadas"
"dElarei7","https://itunes.apple.com/br/reviews/id1404304230","5","Good","Good","0","2025-12-03T05:33:30-07:00","13470239153","13.44.24","0","5","Mais votadas"
"Junior Garbuio","https://itunes.apple.com/br/reviews/id413448183","5","Excelente","Com certeza o melhor e mais completo app para transações com cripto moedas.","0","2025-12-03T11:15:32-07:00","13471316220","13.44.24","0","5","Mais votadas"
"Kcmdc22","https://itunes.apple.com/br/reviews/id271501538","1","Não abre","App trava o tempo todo","0","2025-12-05T04:40:14-07:00","13477599950","13.44.24","0","5","Mais votadas"
"Seu francisco ribamar","https://itunes.apple.com/br/reviews/id1854905024","5","Coinbase é a melhor","Único no mundo","0","2025-12-07T06:43:47-07:00","13486177777","13.44.24","0","5","Mais votadas"
"Leo_ssl","https://itunes.apple.com/br/reviews/id384780627","5","Seguro","Ótimo app","0","2025-12-07T09:54:20-07:00","13486851996","13.44.24","0","5","Mais votadas"
"Acscjm","https://itunes.apple.com/br/reviews/id1738521990","5","Feliz","10","0","2025-12-07T17:57:46-07:00","13488221871","13.44.24","0","5","Mais votadas"
"elderdasilva29yo","https://itunes.apple.com/br/reviews/id586730217","5","Best exchange in the market","Coinbase offers robust security and an exceptionally user-friendly platform. Its advanced protections—like cold storage and multi-layer authentication—provide strong peace of mind, while features such as seamless buying, portfolio tracking, and intuitive mobile tools make managing crypto simple and efficient.","0","2025-12-08T07:03:12-07:00","13490162000","13.44.24","0","5","Mais votadas"
"Carlosvascular","https://itunes.apple.com/br/reviews/id184406586","5","Fácil movimentação","Muito bom","0","2025-11-25T04:02:00-07:00","13439026190","13.43.25","0","5","Mais votadas"
