"query","value"
"bitcoin hoje","100"
"gráfico bitcoin","38"
"bitcoin dolar","33"
"bitcoin dólar","27"
"bitcoin real","27"
"bitcoin agora","26"
"mercado bitcoin","23"
"logo bitcoin","22"
"bitcoin tattoo","20"
"bitcoin moeda","19"
"bitcoin hoje dólar","17"
"bitcoin valor","16"
"daniel fraga bitcoin","14"
"bitcoin usd","14"
"gráfico bitcoin dólar","13"
"bitcoin gif","12"
"quanto vale um bitcoin","12"
"valor bitcoin hoje","12"
"ethereum","12"
"bitcoin de hoje","11"
