"query","value"
"bitcoin hoje","100"
"dolar","52"
"bitcoin dolar","51"
"bitcoin dólar","37"
"bitcoin usd","25"
"bitcoin dólar hoje","20"
"dólar hoje","19"
"valor bitcoin","17"
"bitcoin hoje dolar","14"
"bitcoin real","14"
"dolar hoje","14"
"bitcoin cotação","12"
"bitcoin price","11"
"bitcoin hoje usd","10"
"bitcoin em dolar","9"
"ethereum","9"
"preço bitcoin","8"
"bitcoin news","7"
"valor do bitcoin","7"
"bitcoin agora","7"
