"fonte","tipo","termo","conteudo","desenvolvedor","rating","ratings_count","reviews_count","installs","price","currency","genre","contentRating","icon","app_id","url","version","updated","data_coleta"
"App Store (App Store)","app","bitcoin","Binance: Compre BTC e Cripto","Binance Switzerland AG","4.8","152354","0","","0.0","BRL","Finance","","https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/80/92/4a/80924a99-ad0b-ded2-a751-e09f4be3b738/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/512x512bb.jpg","1436799971","https://apps.apple.com/br/app/binance-compre-btc-e-cripto/id1436799971?uo=4","3.7.4","2018-10-06T19:55:47Z","2025-12-12 02:02:12"
"App Store (App Store)","app","bitcoin","Bybit: Compre e negocie cripto","Bybit Fintech Limited","4.9","14188","0","","0.0","BRL","Finance","","https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/be/6f/42/be6f4246-669e-d144-e7ae-4d0a234dc9e0/AppIcon-0-0-1x_U007emarketing-0-11-0-85-220.png/512x512bb.jpg","1488296980","https://apps.apple.com/br/app/bybit-compre-e-negocie-cripto/id1488296980?uo=4","5.8.2","2020-02-09T08:00:00Z","2025-12-12 02:02:12"
"App Store (App Store)","app","bitcoin","Bitcoin.com Cryptocurrency Cap","Bitcoin.com","4.8","248","0","","0.0","BRL","Finance","","https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/84/fe/6e/84fe6eb4-8add-c067-c6f6-4b404eb4fba2/AppIcon-0-0-1x_U007epad-0-11-0-sRGB-85-220.png/512x512bb.jpg","1252903728","https://apps.apple.com/br/app/bitcoin-com-cryptocurrency-cap/id1252903728?uo=4","9.2.1","2017-07-11T02:24:55Z","2025-12-12 02:02:12"
"App Store (App Store)","app","bitcoin","MB | Mercado Bitcoin: criptos","Mercado Bitcoin","4.6","22212","0","","0.0","BRL","Finance","","https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/f4/03/5e/f4035ec5-9375-46f1-8e10-e947f5f6f013/AppIcon-0-0-1x_U007ephone-0-1-0-85-220.png/512x512bb.jpg","1439360986","https://apps.apple.com/br/app/mb-mercado-bitcoin-criptos/id1439360986?uo=4","2.201.0","2019-02-22T01:35:38Z","2025-12-12 02:02:12"
"App Store (App Store)","app","bitcoin","Bitybank: Bitcoin e Crypto","Biscoint","4.9","8466","0","","0.0","BRL","Finance","","https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/36/25/13/3625132c-0999-4d25-b742-402dbcc7eaf9/AppIcon-0-0-1x_U007emarketing-0-6-0-85-220.png/512x512bb.jpg","1588152503","https://apps.apple.com/br/app/bitybank-bitcoin-e-crypto/id1588152503?uo=4","2.9.4","2022-02-09T08:00:00Z","2025-12-12 02:02:12"
"App Store (App Store)","app","bitcoin","Bitcoin!","Ketchapp","4.1","1671","0","","0.0","BRL","Games","","https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/35/13/3a/35133a7e-28a3-8d8a-232a-06c00f0124e1/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/512x512bb.jpg","1319025639","https://apps.apple.com/br/app/bitcoin/id1319025639?uo=4","1.1.16","2017-12-08T03:21:36Z","2025-12-12 02:02:12"
"App Store (App Store)","app","bitcoin","NovaDAX - Bitcoin Exchange","NOVADAX BRASIL PAGAMENTOS LTDA","4.6","2644","0","","0.0","BRL","Finance","","https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/e1/54/a4/e154a4c5-d320-35f3-c7dd-81588bb33788/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/512x512bb.jpg","1472203612","https://apps.apple.com/br/app/novadax-bitcoin-exchange/id1472203612?uo=4","3.6.1","2019-10-02T07:00:00Z","2025-12-12 02:02:12"
"App Store (App Store)","app","bitcoin","Trust: Crypto & Bitcoin Wallet","DApps Platform Software Services Ltd.","4.7","11523","0","","0.0","BRL","Finance","","https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/a8/65/40/a8654004-5300-b532-03b4-bd9e8acc3237/AppIcon-0-0-1x_U007epad-0-1-85-220.png/512x512bb.jpg","1288339409","https://apps.apple.com/br/app/trust-crypto-bitcoin-wallet/id1288339409?uo=4","11.66.3","2017-09-27T04:36:37Z","2025-12-12 02:02:12"
"App Store (App Store)","app","bitcoin","Crypto.com: Compre Cripto, BTC","Crypto.com","4.7","8390","0","","0.0","BRL","Finance","","https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/c2/8f/66/c28f6623-a993-1fb4-cc75-fa22617ef851/AppIcon-0-0-1x_U007emarketing-0-6-0-sRGB-85-220.png/512x512bb.jpg","1262148500","https://apps.apple.com/br/app/crypto-com-compre-cripto-btc/id1262148500?uo=4","3.222","2017-08-31T10:47:36Z","2025-12-12 02:02:12"
"App Store (App Store)","app","bitcoin","Bitcoin Miner - Crypto Mining","Lowhill Games Oy","4.6","696","0","","0.0","BRL","Finance","","https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/3a/be/93/3abe9355-63f2-f74b-c772-e49676041bf9/AppIcon-0-0-1x_U007emarketing-0-8-0-0-85-220.png/512x512bb.jpg","6468313323","https://apps.apple.com/br/app/bitcoin-miner-crypto-mining/id6468313323?uo=4","1.4.5","2023-10-05T07:00:00Z","2025-12-12 02:02:12"
