Category: All categories

Day,energia solar: (Brazil)
2024-01-23,82
2024-01-24,71
2024-01-25,82
2024-01-26,69
2024-01-27,60
2024-01-28,60
2024-01-29,74
2024-01-30,71
2024-01-31,70
2024-02-01,63
2024-02-02,71
2024-02-03,54
2024-02-04,48
2024-02-05,74
2024-02-06,83
2024-02-07,68
2024-02-08,71
2024-02-09,61
2024-02-10,57
2024-02-11,48
2024-02-12,64
2024-02-13,64
2024-02-14,73
2024-02-15,75
2024-02-16,80
2024-02-17,55
2024-02-18,52
2024-02-19,78
2024-02-20,86
2024-02-21,87
2024-02-22,77
2024-02-23,67
2024-02-24,49
2024-02-25,51
2024-02-26,79
2024-02-27,81
2024-02-28,89
2024-02-29,85
2024-03-01,78
2024-03-02,60
2024-03-03,66
2024-03-04,91
2024-03-05,86
2024-03-06,75
2024-03-07,79
2024-03-08,75
2024-03-09,56
2024-03-10,52
2024-03-11,82
2024-03-12,82
2024-03-13,86
2024-03-14,88
2024-03-15,95
2024-03-16,70
2024-03-17,67
2024-03-18,95
2024-03-19,96
2024-03-20,100
2024-03-21,99
2024-03-22,84
2024-03-23,59
2024-03-24,65
2024-03-25,84
2024-03-26,87
2024-03-27,87
2024-03-28,72
2024-03-29,63
2024-03-30,66
2024-03-31,50
2024-04-01,88
2024-04-02,87
2024-04-03,89
2024-04-04,79
2024-04-05,82
2024-04-06,58
2024-04-07,49
2024-04-08,82
2024-04-09,84
2024-04-10,86
2024-04-11,84
2024-04-12,77
2024-04-13,55
2024-04-14,46
2024-04-15,72
2024-04-16,80
2024-04-17,75
2024-04-18,77
2024-04-19,79
2024-04-20,52
2024-04-21,49
2024-04-22,77
2024-04-23,62
