Category: All categories

Time,energia solar: (Brazil)
2024-04-15T21,67
2024-04-15T22,54
2024-04-15T23,48
2024-04-16T00,60
2024-04-16T01,52
2024-04-16T02,40
2024-04-16T03,66
2024-04-16T04,0
2024-04-16T05,35
2024-04-16T06,43
2024-04-16T07,63
2024-04-16T08,87
2024-04-16T09,91
2024-04-16T10,93
2024-04-16T11,90
2024-04-16T12,74
2024-04-16T13,73
2024-04-16T14,89
2024-04-16T15,85
2024-04-16T16,75
2024-04-16T17,65
2024-04-16T18,65
2024-04-16T19,71
2024-04-16T20,62
2024-04-16T21,62
2024-04-16T22,54
2024-04-16T23,45
2024-04-17T00,33
2024-04-17T01,39
2024-04-17T02,35
2024-04-17T03,32
2024-04-17T04,32
2024-04-17T05,30
2024-04-17T06,43
2024-04-17T07,60
2024-04-17T08,72
2024-04-17T09,82
2024-04-17T10,100
2024-04-17T11,89
2024-04-17T12,71
2024-04-17T13,67
2024-04-17T14,83
2024-04-17T15,81
2024-04-17T16,72
2024-04-17T17,64
2024-04-17T18,54
2024-04-17T19,56
2024-04-17T20,48
2024-04-17T21,52
2024-04-17T22,50
2024-04-17T23,51
2024-04-18T00,57
2024-04-18T01,44
2024-04-18T02,44
2024-04-18T03,36
2024-04-18T04,46
2024-04-18T05,32
2024-04-18T06,39
2024-04-18T07,59
2024-04-18T08,79
2024-04-18T09,100
2024-04-18T10,92
2024-04-18T11,93
2024-04-18T12,71
2024-04-18T13,68
2024-04-18T14,83
2024-04-18T15,89
2024-04-18T16,86
2024-04-18T17,72
2024-04-18T18,64
2024-04-18T19,70
2024-04-18T20,67
2024-04-18T21,70
2024-04-18T22,56
2024-04-18T23,60
2024-04-19T00,52
2024-04-19T01,40
2024-04-19T02,45
2024-04-19T03,0
2024-04-19T04,0
2024-04-19T05,59
2024-04-19T06,52
2024-04-19T07,60
2024-04-19T08,81
2024-04-19T09,83
2024-04-19T10,91
2024-04-19T11,97
2024-04-19T12,82
2024-04-19T13,75
2024-04-19T14,72
2024-04-19T15,79
2024-04-19T16,73
2024-04-19T17,72
2024-04-19T18,61
2024-04-19T19,57
2024-04-19T20,50
2024-04-19T21,57
2024-04-19T22,52
2024-04-19T23,42
2024-04-20T00,33
2024-04-20T01,35
2024-04-20T02,34
2024-04-20T03,38
2024-04-20T04,0
2024-04-20T05,35
2024-04-20T06,53
2024-04-20T07,58
2024-04-20T08,71
2024-04-20T09,56
2024-04-20T10,59
2024-04-20T11,57
2024-04-20T12,61
2024-04-20T13,53
2024-04-20T14,45
2024-04-20T15,43
2024-04-20T16,47
2024-04-20T17,42
2024-04-20T18,36
2024-04-20T19,44
2024-04-20T20,46
2024-04-20T21,37
2024-04-20T22,37
2024-04-20T23,26
2024-04-21T00,46
2024-04-21T01,34
2024-04-21T02,22
2024-04-21T03,32
2024-04-21T04,0
2024-04-21T05,49
2024-04-21T06,44
2024-04-21T07,56
2024-04-21T08,59
2024-04-21T09,61
2024-04-21T10,56
2024-04-21T11,55
2024-04-21T12,58
2024-04-21T13,56
2024-04-21T14,47
2024-04-21T15,45
2024-04-21T16,44
2024-04-21T17,43
2024-04-21T18,41
2024-04-21T19,46
2024-04-21T20,45
2024-04-21T21,48
2024-04-21T22,53
2024-04-21T23,49
2024-04-22T00,46
2024-04-22T01,47
2024-04-22T02,26
2024-04-22T03,0
2024-04-22T04,51
2024-04-22T05,28
2024-04-22T06,52
2024-04-22T07,55
2024-04-22T08,74
2024-04-22T09,76
2024-04-22T10,88
2024-04-22T11,85
2024-04-22T12,70
2024-04-22T13,67
2024-04-22T14,81
2024-04-22T15,78
2024-04-22T16,87
2024-04-22T17,67
2024-04-22T18,66
2024-04-22T19,70
2024-04-22T20,66
2024-04-22T21,59
