engine,rank,title,link,snippet,displayed_link,date,regiao,termo
bing,1,Vault 7 - Wikipedia,https://en.m.wikipedia.org/wiki/Vault_7,"Vault 7 is a series of documents that WikiLeaks began to publish on 7 March 2017, detailing the activities and capabilities of the United States Central Intelligence Agency (CIA) to perform electronic …",https://en.m.wikipedia.org › wiki,,br,abacate
bing,2,Vault 7: CIA Hacking Tools Revealed - WikiLeaks,https://wikileaks.org/ciav7p1/,"Today, Tuesday 7 March 2017, WikiLeaks begins its new series of leaks on the U.S. Central Intelligence Agency. Code-named ""Vault 7"" by WikiLeaks, it is the largest ever publication of confidential …",https://wikileaks.org,,br,abacate
bing,3,Vault 7 : Wikileaks met la main sur l’arsenal informatique de la CIA,https://www.zdnet.fr/actualites/vault-7-wikileaks-met-la-main-sur-l-arsenal-informatique-de-la-cia-39849496.htm,"Wikileaks publie aujourd’hui une importante archive de documents. L’organisation clame que ceux-ci appartiennent à la CIA, la principale agence américaine de renseignement.",https://www.zdnet.fr › actualites,7 de mar. de 2017,br,abacate
bing,4,Fuite massive sur WikiLeaks : un ex-informaticien de la CIA est ...,https://kulturegeek.fr/news-304311/fuite-massive-wikileaks-ex-informaticien-cia-condamne-40-ans-prison,"Joshua Schulte, un ancien informaticien de la CIA, a été condamné à 40 ans de prison pour avoir transmis en 2017 au site WikiLeaks des outils de cyberespionnage, « la plus grave fuite de...",https://kulturegeek.fr › fuite-massive-wikileaks-ex-informaticien-cia...,,br,abacate
bing,5,WikiLeaks : un ancien informaticien de la CIA reconnu coupable …,https://www.rtl.fr/actu/international/wikileaks-un-ancien-informaticien-de-la-cia-reconnu-coupable-d-espionnage-7900171804,"En 2010, le site WikiLeaks a commencé à divulguer une série de documents classifiés. Joshua Schulte, alors informaticien à la CIA, a été l'une des sources de l'organisation. Les enquêtes liées...",https://www.rtl.fr › actu › international › wikileaks-un-ancien-informaticien-de-la-cia...,14 de jul. de 2022,br,abacate
bing,6,WikiLeaks - Vault 7: Projects,https://wikileaks.org/vault7/,"Today, September 7th 2017, WikiLeaks publishes four secret documents from the Protego project of the CIA, along with 37 related documents (proprietary hardware/software manuals from Microchip …",https://wikileaks.org,,br,abacate
bing,7,WikiLeaks — Wikipédia,https://fr.m.wikipedia.org/wiki/Wikileaks,"En 2017, WikiLeaks publie Vault 7 qui détaille des activités de la Central Intelligence Agency (CIA) dans le domaine de la surveillance électronique et de la cyber-guerre.",https://fr.m.wikipedia.org › wiki › Wikileaks,,br,abacate
bing,8,Un informaticien de la CIA responsable d’une fuite massive de données ...,https://www.lemonde.fr/pixels/article/2024/02/02/un-ancien-informaticien-de-la-cia-responsable-d-une-fuite-massive-de-donnees-sur-wikileaks-condamne-a-quarante-ans-de-prison_6214315_4408996.html,"Un de ses anciens informaticiens a été condamné, jeudi 1 er février, à quarante ans de prison pour avoir transmis, en 2017, au site WikiLeaks des outils de cyberespionnage. Joshua Schulte, …",https://www.lemonde.fr › pixels › article › un-ancien-informaticien-de-la-cia...,2 de fev. de 2024,br,abacate
bing,9,Wikileaks révèle comment la CIA pirate les appareils informatiques,https://www.europe1.fr/international/wikileaks-revele-comment-la-cia-pirates-les-appareils-informatiques-2997089,"Wikileaks a publié mardi près de 9.000 documents, présentés comme internes à la CIA, sur les techniques de piratage et de surveillance de l'agence américaine.",https://www.europe1.fr › international › wikileaks-revele-comment-la-cia-pirates-les...,8 de mar. de 2017,br,abacate
bing,10,Affaire WikiLeaks : un ancien informaticien de la CIA ... - Le Parisien,https://www.leparisien.fr/international/etats-unis/affaire-wikileaks-un-ancien-informaticien-de-la-cia-condamne-a-40-ans-de-prison-02-02-2024-U5I4FTR36NEOHMXFN5C5WRNGWM.php,Un ancien ingénieur logiciel de la Central Intelligence Agency (CIA) américaine qui avait été reconnu coupable d’avoir commis le plus grand vol d’informations classifiées de l’histoire de...,https://www.leparisien.fr › international › etats-unis › affaire-wikileaks-un-ancien...,2 de fev. de 2024,br,abacate
