regiao,valor
Distrito Federal,100
Piauí,75
Paraíba,72
Acre,70
Rondônia,70
Pernambuco,70
Amazonas,68
São Paulo,66
Ceará,66
Espírito Santo,66
Tocantins,65
Amapá,64
Santa Catarina,63
Rio Grande do Norte,61
Rio Grande do Sul,61
Sergipe,61
Mato Grosso do Sul,60
Mato Grosso,60
Pará,60
Maranhão,58
Goiás,58
Minas Gerais,57
Alagoas,57
Rio de Janeiro,56
Bahia,55
