regiao,valor
Sergipe,100
Distrito Federal,93
Tocantins,86
Mato Grosso do Sul,81
São Paulo,78
Pará,76
Rio Grande do Sul,74
Rio Grande do Norte,74
Mato Grosso,72
Piauí,72
Ceará,70
Rio de Janeiro,69
Espírito Santo,67
Goiás,67
Pernambuco,66
Alagoas,64
Paraíba,64
Amazonas,62
Bahia,62
Paraná,61
Minas Gerais,61
Maranhão,54
Santa Catarina,53
Rondônia,3
Roraima,0
