"regiao","valor"
"Santa Catarina","100"
"Distrito Federal","95"
"Rio Grande do Sul","91"
"São Paulo","90"
"Paraná","87"
"Tocantins","86"
"Ceará","85"
"Mato Grosso do Sul","85"
"Espírito Santo","85"
"Pará","84"
"Mato Grosso","83"
"Rio de Janeiro","83"
"Roraima","81"
"Rondônia","77"
"Minas Gerais","76"
"Goiás","73"
"Rio Grande do Norte","73"
"Alagoas","67"
"Paraíba","67"
"Maranhão","66"
