"query","value"
"grafico bitcoin agora","353400"
"bitcoin imagem","183050"
"gráfico bitcoin hoje","175350"
"valor de 1 bitcoin em real","118950"
"preco bitcoin","107650"
"moeda bitcoin","103500"
"mercado bitcoin","71250"
"bitcoin cotação","41500"
"1 bitcoin em real","41450"
"satoshi","41150"
"mineradora de bitcoin","36350"
"quanto vale 1 bitcoin","31350"
"quanto custa um bitcoin","28900"
"criador do bitcoin","28050"
"solana","25650"
"jack dorsey bitcoin","25400"
"ethereum","25150"
"preço bitcoin dolar","23650"
"quanto vale um bitcoin","300"
"bitcoin valor","140"
