"query","value"
"bitcoin hoje","100"
"bitcoin valor","42"
"grafico bitcoin","33"
"gráfico bitcoin","33"
"bitcoin agora","31"
"grafico bitcoin agora","24"
"bitcoin real","24"
"bitcoin dolar","23"
"bitcoin dólar hoje","20"
"bitcoin dólar","20"
"quanto vale um bitcoin","19"
"meme bitcoin","19"
"bitcoin png","15"
"bitcoin imagem","13"
"valor do bitcoin","12"
"gráfico bitcoin hoje","12"
"wallet bitcoin","11"
"bitcoin price","8"
"valor de 1 bitcoin em real","8"
"preco bitcoin","7"
