"fonte","tipo","termo","conteudo","relevancia","regiao","cliente","fonte_busca","categoria","data_coleta","valor","url","buscador","posicao","descricao","canal","channelId","channelUrl","video_id","views","likes","commentCount","duration","publicado_em","tags","categoryId","desenvolvedor","rating","ratings_count","reviews_count","installs","price","currency","genre","contentRating","icon","app_id","version","updated","title","app","thumbsUpCount","replyContent","repliedAt"
"Google Suggest","sugestao","bitcoin","bitcoin preço","551.0","br","chrome","web","top","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin price usd","550.0","br","chrome","web","top","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin agora dólar","601.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin agora gráfico","600.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin ao vivo","561.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin atual","560.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin agora em real","559.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin a peer-to-peer electronic cash system","558.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin ações","557.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin ano a ano","556.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin app","555.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin analise","554.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin a 10 anos atras","553.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin ainda vale a pena","552.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin a dolar","551.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin alta historica","550.0","br","chrome","web","expansao_a","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin bank é seguro","1250.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin bank","1000.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin brl","700.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin binance","650.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin bank é fraude","601.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin brasil","600.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin btc","558.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin bear market","557.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin blockchain","556.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin black pill renato amoedo pdf","555.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin b3","554.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin bitcoin","553.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin bank app","552.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin bolsa","551.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin brl tradingview","550.0","br","chrome","web","expansao_b","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin cash","603.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin caindo","602.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin cotação dólar","601.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin como funciona","600.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin criptomoeda","559.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin caiu","558.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin coinmarketcap","557.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin como comprar","556.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin core","555.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin como investir","554.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin cotação hoje","553.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin cai","552.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin cash hoje","551.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin coinbase","550.0","br","chrome","web","expansao_c","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin dolar hoje","1200.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin dominance","601.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin dolar agora","600.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin derretendo","560.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin de hoje","559.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin despencou","558.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin dólar grafico","557.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin dólar tempo real","556.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin down","555.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin dolar atual","554.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin de ouro","553.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin dominance chart","552.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin desvaloriza","551.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin de agora","550.0","br","chrome","web","expansao_d","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em dolar","1250.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em real","850.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em dolar hoje","601.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em queda","600.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em 2010","560.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em tempo real","559.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em reais","558.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em 2015","557.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em 2012","556.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em 2025","555.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em 2011","554.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em 2013","553.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em 2014","552.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin etf","551.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin em 2019","550.0","br","chrome","web","expansao_e","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin fear and greed","1250.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin futuro","750.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin faucet","601.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin fed","600.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin fisico","560.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin fear","559.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin foi criado quando","558.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin forum","557.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin futuro b3","556.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin foto","555.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin dólar","554.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin fundo","553.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin final de 2025","552.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin físico existe","551.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin farm","550.0","br","chrome","web","expansao_f","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin grafico dolar","601.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin gpt bot","600.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin graph","561.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin gold","560.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin github","559.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin gratis","558.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin gráfico histórico","557.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin gpt bot é confiável","556.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin gráfico agora","555.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin gpt bot é real","554.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin grafico tempo real","553.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin gráfico hoje","552.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin google finance","550.0","br","chrome","web","expansao_g","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin hoje dólar gráfico","600.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Google Suggest","sugestao","bitcoin","bitcoin hyper","558.0","br","chrome","web","expansao_h","2025-12-12 01:59:44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
