rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,licenca_spdx,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,owner_url,owner_avatar,has_issues,has_projects,has_wiki,has_pages,has_downloads,allow_forking,is_template,web_commit_signoff_required,visibility,forks_url,clone_url,homepage,termo
1,EstrellaXD/Auto_Bangumi,https://github.com/EstrellaXD/Auto_Bangumi,AutoBangumi - 全自动追番工具,7809,7809,407,Python,2022-05-03T03:46:36Z,2025-12-11T22:15:14Z,2025-04-29T13:11:14Z,70574,MIT License,MIT,"anime, auto-downloader, docker, python, qbittorrent, rss-parser",211,main,False,False,False,False,EstrellaXD,User,https://github.com/EstrellaXD,https://avatars.githubusercontent.com/u/33726646?v=4,True,True,False,False,True,True,False,False,public,https://api.github.com/repos/EstrellaXD/Auto_Bangumi/forks,https://github.com/EstrellaXD/Auto_Bangumi.git,https://autobangumi.org,bangu
2,czy0729/Bangumi,https://github.com/czy0729/Bangumi,":electron: An unofficial https://bgm.tv ui first app client for Android and iOS, built with React Native. 一个无广告、以爱好为驱动、不以盈利为目的、专门做 ACG 的类似豆瓣的追番记录，bgm.tv 第三方客户端。为移动端重新设计，内置大量加强的网页端难以实现的功能，且提供了相当的自定义选项。 目前已适配 iOS / Android。",5024,5024,157,TypeScript,2019-05-08T15:23:07Z,2025-12-12T06:21:13Z,2025-12-11T17:00:39Z,95270,MIT License,MIT,"android, android-app, bangumi, design, expo, ios, ios-app, mobx, moe, react, react-native",26,master,False,False,False,False,czy0729,User,https://github.com/czy0729,https://avatars.githubusercontent.com/u/13514316?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/czy0729/Bangumi/forks,https://github.com/czy0729/Bangumi.git,,bangu
3,easybangumiorg/EasyBangumi,https://github.com/easybangumiorg/EasyBangumi,纯纯看番，使用 Compose 开发的 Android 看番软件，支持多番剧源,3658,3658,91,Kotlin,2021-10-05T07:53:10Z,2025-12-12T04:12:47Z,2025-12-03T05:49:57Z,165696,Apache License 2.0,Apache-2.0,"acg, android, android-application, bangumi, cartoon, compose",40,main,False,False,False,False,easybangumiorg,Organization,https://github.com/easybangumiorg,https://avatars.githubusercontent.com/u/126157665?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/easybangumiorg/EasyBangumi/forks,https://github.com/easybangumiorg/EasyBangumi.git,https://easybangumi.org,bangu
4,kookxiang/jellyfin-plugin-bangumi,https://github.com/kookxiang/jellyfin-plugin-bangumi,bgm.tv plugin for jellyfin,957,957,33,C#,2021-09-29T10:01:21Z,2025-12-10T17:55:37Z,2025-12-07T05:54:22Z,2374,GNU General Public License v2.0,GPL-2.0,"bangumi, jellyfin, jellyfin-metadata-provider, jellyfin-plugin, plugin",89,master,False,False,False,False,kookxiang,User,https://github.com/kookxiang,https://avatars.githubusercontent.com/u/2725379?v=4,True,False,True,True,True,True,False,False,public,https://api.github.com/repos/kookxiang/jellyfin-plugin-bangumi/forks,https://github.com/kookxiang/jellyfin-plugin-bangumi.git,,bangu
5,xiaoyvyv/bangumi,https://github.com/xiaoyvyv/bangumi,Bangumi for Android - A full-featured unofficial android native application for the bangumi.tv,937,937,21,Kotlin,2023-11-24T09:45:47Z,2025-12-11T15:43:10Z,2025-10-25T07:17:04Z,148537,GNU General Public License v3.0,GPL-3.0,"acg, android, anime, app, bangmui, bgm, bilibili, chii, chobits, client, comic, game, kotlin, mikanani, music, native, rank, tv",50,main,False,False,False,False,xiaoyvyv,User,https://github.com/xiaoyvyv,https://avatars.githubusercontent.com/u/29088158?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/xiaoyvyv/bangumi/forks,https://github.com/xiaoyvyv/bangumi.git,,bangu
6,bangumi-data/bangumi-data,https://github.com/bangumi-data/bangumi-data,Raw data for Japanese Anime,577,577,65,JavaScript,2016-09-04T15:12:22Z,2025-12-10T16:20:53Z,2025-12-01T11:35:17Z,22612,,,,7,master,False,False,False,False,bangumi-data,Organization,https://github.com/bangumi-data,https://avatars.githubusercontent.com/u/20261632?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/bangumi-data/bangumi-data/forks,https://github.com/bangumi-data/bangumi-data.git,,bangu
7,HCLonely/hexo-bilibili-bangumi,https://github.com/HCLonely/hexo-bilibili-bangumi,"hexo 番剧页面插件，可选数据源：Bilibili, Bangumi",529,529,30,JavaScript,2020-02-08T12:58:10Z,2025-12-11T17:09:42Z,2025-12-02T05:52:51Z,4079,Apache License 2.0,Apache-2.0,"bangumi, bilibili, hexo, hexo-bilibili, hexo-plugin",7,master,False,False,False,False,HCLonely,User,https://github.com/HCLonely,https://avatars.githubusercontent.com/u/26346802?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/HCLonely/hexo-bilibili-bangumi/forks,https://github.com/HCLonely/hexo-bilibili-bangumi.git,,bangu
8,ekibun/Bangumi,https://github.com/ekibun/Bangumi,Bangumi番组计划Android客户端,486,486,14,Kotlin,2018-06-08T06:01:57Z,2025-12-10T13:44:34Z,2025-09-06T15:48:15Z,9760,Apache License 2.0,Apache-2.0,bangumi,7,master,False,False,False,False,ekibun,User,https://github.com/ekibun,https://avatars.githubusercontent.com/u/20966437?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/ekibun/Bangumi/forks,https://github.com/ekibun/Bangumi.git,https://bgm.tv/group/topic/346386,bangu
9,wxt2005/bangumi-list,https://github.com/wxt2005/bangumi-list,大陆版权新番播放地址聚合站 V2,411,411,52,JavaScript,2015-06-23T23:29:08Z,2025-09-19T01:03:00Z,2021-06-06T07:58:56Z,1353,,,,6,master,True,False,False,False,wxt2005,User,https://github.com/wxt2005,https://avatars.githubusercontent.com/u/3823149?v=4,True,True,False,False,True,True,False,False,public,https://api.github.com/repos/wxt2005/bangumi-list/forks,https://github.com/wxt2005/bangumi-list.git,http://bgmlist.com/,bangu
10,fanchen001/Bangumi,https://github.com/fanchen001/Bangumi,专为二次元爱好者量身打造的番剧聚合平台(伪)，包括但不限于动漫，宅舞，音乐，电视剧，电影，直播等。软件包含多个视频播放源。可以在【更多】里面寻找。这里不仅包含时下最热门的番剧内容，更有好玩有趣的二次元游戏、应用，供你与二次元的小伙伴交流互动！次元番，欢迎喜欢二次元的你！！,381,381,101,Java,2017-11-05T09:01:29Z,2025-12-10T11:44:36Z,2019-10-12T08:20:15Z,125581,,,,5,master,False,False,False,False,fanchen001,User,https://github.com/fanchen001,https://avatars.githubusercontent.com/u/13826873?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/fanchen001/Bangumi/forks,https://github.com/fanchen001/Bangumi.git,,bangu
11,bangumi-users/awesome-bangumi,https://github.com/bangumi-users/awesome-bangumi,bangumi.tv 相关的坑,276,276,8,,2016-06-09T11:19:28Z,2025-11-14T12:08:29Z,2024-06-22T22:40:54Z,62,,,"acg, awesome-list, bangumi",0,gh-pages,False,False,False,False,bangumi-users,Organization,https://github.com/bangumi-users,https://avatars.githubusercontent.com/u/63682206?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/bangumi-users/awesome-bangumi/forks,https://github.com/bangumi-users/awesome-bangumi.git,https://bangumi-users.github.io/awesome-bangumi/,bangu
12,KimigaiiWuyi/Bangumi_Auto_Rename,https://github.com/KimigaiiWuyi/Bangumi_Auto_Rename,✨自动重命名工具，将动漫剧集、电影、动漫电影、真人剧集各种混乱的文件结构/格式转为适合Emby自动刮削的格式，支持批量处理或qbittorrent下载完成之后自动硬链接！,262,262,15,Python,2024-06-26T13:40:36Z,2025-12-07T23:20:01Z,2025-10-12T01:30:19Z,302,GNU General Public License v3.0,GPL-3.0,,18,web,False,False,False,False,KimigaiiWuyi,User,https://github.com/KimigaiiWuyi,https://avatars.githubusercontent.com/u/55526518?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/KimigaiiWuyi/Bangumi_Auto_Rename/forks,https://github.com/KimigaiiWuyi/Bangumi_Auto_Rename.git,,bangu
13,RanKKI/BangumiBot,https://github.com/RanKKI/BangumiBot,"Highly customisable automatic project to follow & watch Anime, works well with media libraries such as Jellyfin ",221,221,9,Python,2022-07-08T13:02:11Z,2025-09-02T16:11:38Z,2023-05-23T04:46:16Z,656,MIT License,MIT,"aria2, automatic, bangumi, emby, jellyfin, qbittorrent, rss, transmission",4,main,False,False,False,False,RanKKI,User,https://github.com/RanKKI,https://avatars.githubusercontent.com/u/14053802?v=4,True,False,True,False,True,True,False,False,public,https://api.github.com/repos/RanKKI/BangumiBot/forks,https://github.com/RanKKI/BangumiBot.git,,bangu
14,nuthx/bangumi-renamer,https://github.com/nuthx/bangumi-renamer,一键重命名罗马拼音的动画文件夹 —— 自动识别番剧，自定义命名规则,204,204,6,Python,2023-05-25T10:42:13Z,2025-12-05T13:55:32Z,2024-10-28T09:01:07Z,5804,GNU General Public License v3.0,GPL-3.0,"anilist, anime, bangumi, renamer",6,main,False,False,False,False,nuthx,User,https://github.com/nuthx,https://avatars.githubusercontent.com/u/29234438?v=4,True,False,False,False,True,True,False,False,public,https://api.github.com/repos/nuthx/bangumi-renamer/forks,https://github.com/nuthx/bangumi-renamer.git,,bangu
