"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Serfaty","https://itunes.apple.com/br/reviews/id274519503","2","Comentário são bons mais","Ele respondeu uma coisa muito pesada para os cristão e pessoas que amam deus e acreditam:um cara perguntou bem você ama deus o ben respondeu:não isso é muito pesado ele dá respostas ruins as coisas mais o jogo e bom","1","2023-11-04T15:18:48-07:00","10550648483","4.3.2","1","4","Piores avaliadas"
"Estelar_mc","https://itunes.apple.com/br/reviews/id1193384535","2","Mano","Eu acho que o cão é muito chatoooooooooo","0","2022-09-30T11:40:16-07:00","9137370942","4.0.5","0","4","Piores avaliadas"
"99999....9099...99999","https://itunes.apple.com/br/reviews/id1243278857","2","Tom","Assusta..para risponder as 
pergunta","0","2021-08-14T12:31:27-07:00","7693022678","3.9","0","4","Piores avaliadas"
"awhgmello","https://itunes.apple.com/br/reviews/id327911874","2","Estranho","É bem legal mais é estranho e assustador","0","2021-04-19T08:48:50-07:00","7240371711","3.8","0","4","Piores avaliadas"
"Anderson.OL","https://itunes.apple.com/br/reviews/id87287299","4","Telefone","Eu queria que eu que estivesse falando com o Ben no telefone!","5","2018-11-26T03:28:55-07:00","3462283594","3.5.1","4","4","Piores avaliadas"
"Muddleybra","https://itunes.apple.com/br/reviews/id207720667","4","Telefone","Até que o jogo é muito bom, mas o Telefone buga tipo eu falo ""oi ola fabrica de chocolate"" o telefone trava, e fala no video ""oi ola fabricha de cocholate"" grava um video no app.","0","2024-10-19T15:40:29-07:00","11852746725","3.8","0","4","Piores avaliadas"
"valen 104","https://itunes.apple.com/br/reviews/id234214689","4","É Legal","Até meio que","1","2020-08-02T10:59:25-07:00","6272021912","3.5.6","0","4","Piores avaliadas"
"Bela e Bia Forever","https://itunes.apple.com/br/reviews/id127276360","4","Adorei","Adorei mas as experiências poderiam ser de graça","3","2018-11-07T13:46:08-07:00","3392333156","3.5.1","2","4","Piores avaliadas"
"Eu 💖 Minecraft 😽🫶","https://itunes.apple.com/br/reviews/id1828499577","5","Bem você é gay ?        Resposta dele : yes","Vixe lá ele boy😏","0","2025-12-05T11:41:06-07:00","13478950789","4.7.1","0","4","Piores avaliadas"
"Ok them","https://itunes.apple.com/br/reviews/id322085907","5","Muito bom","À jogabilidade excelente","0","2020-04-28T10:43:31-07:00","5876123595","3.5.6","0","4","Piores avaliadas"
"gggrgggggrggtg","https://itunes.apple.com/br/reviews/id192977352","5","Incrivelmente incrível","Parabéns!!!! É ótimo este app mas ele poderia ser tipo.... o Tom... a Angela que você pode por para dormir, comer, ir ao banheiro, escolher tipo as paredes da casa e ele pode ter um jardim também, esses jogos são incríveis mas no Tom ou tem privada e na Angela tem escovar os dentes devia ter os dois além da opção de banho e o Ben devia ter as opções de roupa também mas é ótimo pois tenho ele no iPad até antes que eu nasci então está instalado a mais de 10 anos 
Perfeito.......","1","2020-08-27T08:04:41-07:00","6366925753","3.5.6","0","4","Piores avaliadas"
"100 çura","https://itunes.apple.com/br/reviews/id561008396","5","Legal","Bem bom jogo recomendo baixar","0","2020-12-28T17:52:16-07:00","6805057316","3.8","0","4","Piores avaliadas"
"Fera nenê","https://itunes.apple.com/br/reviews/id396996654","5","Aviso só pós país pararem de ser idiotas","o o jogo do Talking ben é muito bom e esse negócio de hacker sa é mentira meu grrrr não sa basta falarem que the cuphead show e do diabo nem se ver o desenho direito tão falando que Talking ben e do satanás só porque ben não gosta de Deus o personagem ben respondo com as falas que ele tem tipo ho HO no ou ele mostrando a língua e falando sim o não parecer que  algums país não ver a meda do jogo ou desenho tipo the cuphead show.

Ponto agora eu avisei pelos pais pra alguma empresa gande não fala que Talking ben e do demônio

Só pra visa é só um aviso antes do parqui pega fogo eu sei que o Talking ben não é do demônio","0","2022-03-03T10:01:18-07:00","8416587463","4.0","0","4","Piores avaliadas"
"Mivieira1","https://itunes.apple.com/br/reviews/id276015143","5","Esse jogo é muito bom","Amei","0","2022-05-03T19:03:47-07:00","8634695333","4.0.2","0","4","Piores avaliadas"
"bemefoda123","https://itunes.apple.com/br/reviews/id1357976877","5","PIKA","Hey Ben, do you like men? 
Yes.","0","2022-10-01T16:13:20-07:00","9141552659","4.0.5","0","4","Piores avaliadas"
"m_curi","https://itunes.apple.com/br/reviews/id913102387","5","Ben vc é gay?","yes.","0","2024-03-14T17:08:30-07:00","11045090333","4.3.4","0","4","Piores avaliadas"
"Lua🌓","https://itunes.apple.com/br/reviews/id1494464114","5","Muito divertido","Ele responde sempre respostas engraçadas","0","2024-08-05T13:49:46-07:00","11576348200","4.3.5","0","4","Piores avaliadas"
"Amandiroba","https://itunes.apple.com/br/reviews/id1732556756","5","Uau!!! 👍","O Talking ben e meu amigo simmmmmmmmm!","0","2025-01-12T12:08:12-07:00","12176740705","4.4","0","4","Piores avaliadas"
"Tom hahahahahaha","https://itunes.apple.com/br/reviews/id1230819947","5","Muito legal","Gostei","0","2021-06-13T12:34:09-07:00","7461186900","3.8","0","4","Piores avaliadas"
"Biogil","https://itunes.apple.com/br/reviews/id86542744","5","Adoreeeeeeeeeeeeeeeeeeeeeeeeeeei","Muito   Bom   Jogo   Mitooooooooooooooooooooooooooo","1","2017-12-19T10:11:52-07:00","2009673755","3.4.2","1","4","Piores avaliadas"
