regiao,valor
Tocantins,100
Rio Grande do Norte,77
Mato Grosso,70
Mato Grosso do Sul,63
Ceará,55
São Paulo,52
Paraná,51
Goiás,46
Bahia,42
Espírito Santo,40
Maranhão,39
Minas Gerais,37
Rio de Janeiro,37
Santa Catarina,36
Distrito Federal,31
Pará,31
Rio Grande do Sul,30
Pernambuco,19
Roraima,0
Amapá,0
