fonte,tipo,termo,conteudo,relevancia,regiao,cliente,fonte_busca,categoria,data_coleta,valor,url,buscador,posicao,canal,video_id,publicado_em,autor,likes,video_titulo,desenvolvedor,rating,installs,app_id
Google Suggest,sugestao,bitcoin,bitcoin blockchain,556.0,br,chrome,web,expansao_b,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin black pill renato amoedo pdf,555.0,br,chrome,web,expansao_b,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin b3,554.0,br,chrome,web,expansao_b,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin bitcoin,553.0,br,chrome,web,expansao_b,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin bank reclame aqui,552.0,br,chrome,web,expansao_b,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin brl tradingview,551.0,br,chrome,web,expansao_b,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin banco inter,550.0,br,chrome,web,expansao_b,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cotação,1251.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin caindo,1250.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cash,650.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin criptomoeda,601.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin como funciona,600.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin caiu,559.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin coinmarketcap,558.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin como comprar,557.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin core,556.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin como investir,555.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cotação hoje,554.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin cash hoje,553.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin coinbase,552.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin coingecko,551.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin calculadora,550.0,br,chrome,web,expansao_c,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dolar,1250.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dolar hoje,1100.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dominance,601.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dolar agora,600.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin derretendo,560.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin de hoje,559.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin despencou,558.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dólar grafico,557.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dólar tempo real,556.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin down,555.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dolar atual,554.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin de ouro,553.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin dominance chart,552.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin desvaloriza,551.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin de agora,550.0,br,chrome,web,expansao_d,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em dolar,1251.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em real,1250.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em dolar hoje,601.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em queda,600.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2010,560.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em 2015,559.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em tempo real,558.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
Google Suggest,sugestao,bitcoin,bitcoin em reais,557.0,br,chrome,web,expansao_e,2025-12-11 21:07:47,,,,,,,,,,,,,,
