regiao,valor
Distrito Federal,100
Santa Catarina,96
São Paulo,81
Paraná,73
Tocantins,69
Rio de Janeiro,67
Rio Grande do Sul,62
Alagoas,62
Espírito Santo,61
Rio Grande do Norte,58
Amazonas,57
Minas Gerais,57
Ceará,52
Goiás,52
Paraíba,46
Pernambuco,41
Bahia,35
Maranhão,30
Pará,22
Rondônia,4
Piauí,0
Mato Grosso do Sul,0
Mato Grosso,0
Roraima,0
Sergipe,0
