regiao,valor
Roraima,100
Distrito Federal,96
Santa Catarina,95
Pará,92
Acre,91
Rio Grande do Sul,87
Rio Grande do Norte,86
São Paulo,84
Paraná,84
Espírito Santo,83
Mato Grosso do Sul,83
Mato Grosso,82
Tocantins,82
Rio de Janeiro,81
Goiás,79
Ceará,76
Rondônia,76
Amazonas,75
Minas Gerais,71
Alagoas,66
