rank,titulo,autores,autores_lista,data,data_completa,link,resumo,categorias,categorias_lista,arxiv_id,doi,comment,journal_ref,primary_category,termo
1,An analysis of Bitcoin OP_RETURN metadata,"Massimo Bartoletti, Livio Pompianu","['Massimo Bartoletti', 'Livio Pompianu']",2017-02-03,2017-02-03T14:30:27Z,https://arxiv.org/abs/1702.01024v2,"The Bitcoin protocol allows to save arbitrary data on the blockchain through a special instruction of the scripting language, called OP_RETURN. A growing number of protocols exploit this feature to extend the range of applications of the Bitcoin blockchain beyond transfer of currency. A point of debate in the Bitcoin community is whether loading data through OP_RETURN can negatively affect the performance of the Bitcoin network with respect to its primary goal. This paper is an empirical study of the usage of OP_RETURN over the years. We identify several protocols based on OP_RETURN, which we classify by their application domain. We measure the evolution in time of the usage of each protocol, the distribution of OP_RETURN transactions by application domain, and their space consumption.",cs.CR,['cs.CR'],1702.01024v2,,BITCOIN 2017,,cs.CR,bitcoin
2,Niji: Bitcoin Bridge Utilizing Payment Channels,"Hiroki Watanabe, Shigenori Ohashi, Shigeru Fujimura, Atsushi Nakadaira, Kota Hidaka, Jay Kishigami","['Hiroki Watanabe', 'Shigenori Ohashi', 'Shigeru Fujimura', 'Atsushi Nakadaira', 'Kota Hidaka', 'Jay Kishigami']",2018-10-24,2018-10-24T05:43:16Z,https://arxiv.org/abs/1810.10194v1,"Bitcoin's enormous success has inspired the development of alternative blockchains, such as consortium chains. Several cross-chain protocols have been proposed as ways of connecting these universes of individual blockchains in a distributed and secure manner. In this paper, we present Niji, a new cross-chain protocol that allows parties to perform virtual Bitcoin payment securely on a consortium chain, without any trusted third-party or mediators. Our work focuses on the issue that it is difficult for a consortium chain's token to hold a stable market value, and Niji makes it possible for smart contract services to acquire means of payment in the consortium chain. With the Bitcoin payment channel built on the consortium chain, the process from payment to service provision runs autonomously without any interaction between parties. Niji introduces the concept of a transaction template to validate Bitcoin payments efficiently on different blockchains, and it allows a service provider to delegate all of its tasks for verifying state updates to a smart contract on the consortium chain. We also propose a novel bi-directional payment channel adapted for design of the Niji protocol, which can update payments non-interactively between parties. We implemented a prototype of the Niji protocol and conducted an experiment measuring the computational cost and latency that demonstrates the protocol's feasibility on practical platforms.",cs.DC,['cs.DC'],1810.10194v1,,Presented at Scaling Bitcoin 2018,,cs.DC,bitcoin
3,The Economics of BitCoin Price Formation,"Pavel Ciaian, Miroslava Rajcaniova, d'Artis Kancs","['Pavel Ciaian', 'Miroslava Rajcaniova', ""d'Artis Kancs""]",2014-05-18,2014-05-18T12:59:05Z,https://arxiv.org/abs/1405.4498v1,"This paper analyses the relationship between BitCoin price and supply-demand fundamentals of BitCoin, global macro-financial indicators and BitCoin attractiveness for investors. Using daily data for the period 2009-2014 and applying time-series analytical mechanisms, we find that BitCoin market fundamentals and BitCoin attractiveness for investors have a significant impact on BitCoin price. Our estimates do not support previous findings that the macro-financial developments are driving BitCoin price.","econ.GN, q-fin.GN","['econ.GN', 'q-fin.GN']",1405.4498v1,,"Key words: BitCoin, exchange rate, supply-demand fundamentals, financial indicators, attractiveness JEL classification: E31; E42; G12",,econ.GN,bitcoin
4,The Price of BitCoin: GARCH Evidence from High Frequency Data,"Pavel Ciaian, d'Artis Kancs, Miroslava Rajcaniova","['Pavel Ciaian', ""d'Artis Kancs"", 'Miroslava Rajcaniova']",2018-12-22,2018-12-22T05:25:15Z,https://arxiv.org/abs/1812.09452v1,"This is the first paper that estimates the price determinants of BitCoin in a Generalised Autoregressive Conditional Heteroscedasticity framework using high frequency data. Derived from a theoretical model, we estimate BitCoin transaction demand and speculative demand equations in a GARCH framework using hourly data for the period 2013-2018. In line with the theoretical model, our empirical results confirm that both the BitCoin transaction demand and speculative demand have a statistically significant impact on the BitCoin price formation. The BitCoin price responds negatively to the BitCoin velocity, whereas positive shocks to the BitCoin stock, interest rate and the size of the BitCoin economy exercise an upward pressure on the BitCoin price.","q-fin.ST, econ.GN","['q-fin.ST', 'econ.GN']",1812.09452v1,,Pavel Ciaian and d'Artis Kancs and Miroslava Rajcaniova The Price of BitCoin: GARCH Evidence from High Frequency Data,,q-fin.ST,bitcoin
5,Functional Classification of Bitcoin Addresses,"Manuel Febrero-Bande, Wenceslao González-Manteiga, Brenda Prallon, Yuri F. Saporito","['Manuel Febrero-Bande', 'Wenceslao González-Manteiga', 'Brenda Prallon', 'Yuri F. Saporito']",2022-02-24,2022-02-24T11:03:51Z,https://arxiv.org/abs/2202.12019v3,"This paper proposes a classification model for predicting the main activity of bitcoin addresses based on their balances. Since the balances are functions of time, we apply methods from functional data analysis; more specifically, the features of the proposed classification model are the functional principal components of the data. Classifying bitcoin addresses is a relevant problem for two main reasons: to understand the composition of the bitcoin market, and to identify addresses used for illicit activities. Although other bitcoin classifiers have been proposed, they focus primarily on network analysis rather than curve behavior. Our approach, on the other hand, does not require any network information for prediction. Furthermore, functional features have the advantage of being straightforward to build, unlike expert-built features. Results show improvement when combining functional features with scalar features, and similar accuracy for the models using those features separately, which points to the functional model being a good alternative when domain-specific knowledge is not available.","stat.AP, stat.ML","['stat.AP', 'stat.ML']",2202.12019v3,,"Keywords: Bitcoin market, Darknet market, Functional Data Analysis, Functional Classification, Functional Principal Components",,stat.AP,bitcoin
6,Inferring the interplay of network structure and market effects in Bitcoin,"Dániel Kondor, István Csabai, János Szüle, Márton Pósfai, Gábor Vattay","['Dániel Kondor', 'István Csabai', 'János Szüle', 'Márton Pósfai', 'Gábor Vattay']",2014-12-12,2014-12-12T16:31:24Z,https://arxiv.org/abs/1412.4042v1,"A main focus in economics research is understanding the time series of prices of goods and assets. While statistical models using only the properties of the time series itself have been successful in many aspects, we expect to gain a better understanding of the phenomena involved if we can model the underlying system of interacting agents. In this article, we consider the history of Bitcoin, a novel digital currency system, for which the complete list of transactions is available for analysis. Using this dataset, we reconstruct the transaction network between users and analyze changes in the structure of the subgraph induced by the most active users. Our approach is based on the unsupervised identification of important features of the time variation of the network. Applying the widely used method of Principal Component Analysis to the matrix constructed from snapshots of the network at different times, we are able to show how structural changes in the network accompany significant changes in the exchange price of bitcoins.","physics.soc-ph, cs.SI","['physics.soc-ph', 'cs.SI']",1412.4042v1,10.1088/1367-2630/16/12/125003,project website: http://www.vo.elte.hu/bitcoin,New J. Phys. 16 (2014) 125003,physics.soc-ph,bitcoin
7,How to Charge Lightning: The Economics of Bitcoin Transaction Channels,"Simina Brânzei, Erel Segal-Halevi, Aviv Zohar","['Simina Brânzei', 'Erel Segal-Halevi', 'Aviv Zohar']",2017-12-29,2017-12-29T13:33:46Z,https://arxiv.org/abs/1712.10222v2,"Off-chain transaction channels represent one of the leading techniques to scale the transaction throughput in cryptocurrencies. However, the economic effect of transaction channels on the system has not been explored much until now.
  We study the economics of Bitcoin transaction channels, and present a framework for an economic analysis of the lightning network and its effect on transaction fees on the blockchain. Our framework allows us to reason about different patterns of demand for transactions and different topologies of the lightning network, and to derive the resulting fees for transacting both on and off the blockchain.
  Our initial results indicate that while the lightning network does allow for a substantially higher number of transactions to pass through the system, it does not necessarily provide higher fees to miners, and as a result may in fact lead to lower participation in mining within the system.","cs.CR, cs.DC, cs.GT","['cs.CR', 'cs.DC', 'cs.GT']",1712.10222v2,,An earlier version of the paper was presented at Scaling Bitcoin 2017,,cs.CR,bitcoin
8,"A System Dynamics Model of Bitcoin: Mining as an Efficient Market and the Possibility of ""Peak Hash""","Davide Lasi, Lukas Saul","['Davide Lasi', 'Lukas Saul']",2020-04-20,2020-04-20T11:28:20Z,https://arxiv.org/abs/2004.09212v1,"The mining of bitcoin is modeled using system dynamics, showing that the past evolution of the network hash rate can be explained to a large extent by an efficient market hypothesis applied to the mining of blocks. The possibility of a decrease in the network hash rate from the next halving event (May 2020) is exposed, implying that the network may be close to 'peak hash', if the price of bitcoin and the revenues from transaction fees will remain at approximately the present level.","cs.CR, econ.GN","['cs.CR', 'econ.GN']",2004.09212v1,,"17 pages, 11 figures. For associated model, see: https://github.com/davidelasi/bitcoin",,cs.CR,bitcoin
9,The Redundancy of Full Nodes in Bitcoin: A Network-Theoretic Demonstration of Miner-Centric Propagation Topologies,Dr Craig S Wright,['Dr Craig S Wright'],2025-06-17,2025-06-17T05:26:40Z,https://arxiv.org/abs/2506.14197v1,"This paper formally examines the network structure of Bitcoin CORE (BTC) and Bitcoin Satoshi Vision (BSV) using complex graph theory to demonstrate that home-hosted full nodes are incapable of participating in or influencing the propagation topology. Leveraging established models such as scale-free networks and small-world connectivity, we demonstrate that the propagation graph is dominated by a densely interconnected miner clique, while full nodes reside on the periphery, excluded from all transaction-to-block inclusion paths. Using simulation-backed metrics and eigenvalue centrality analysis, we confirm that full nodes are neither critical nor operationally relevant for consensus propagation.","cs.DC, cs.CR, cs.SI, math.CO","['cs.DC', 'cs.CR', 'cs.SI', 'math.CO']",2506.14197v1,,"34 pages, 1 figures. Comprehensive technical treatment of Bitcoin propagation topology. Submitted to arXiv for public dissemination and archival reference",,cs.DC,bitcoin
10,Do the rich get richer? An empirical analysis of the BitCoin transaction network,"Dániel Kondor, Márton Pósfai, István Csabai, Gábor Vattay","['Dániel Kondor', 'Márton Pósfai', 'István Csabai', 'Gábor Vattay']",2013-08-18,2013-08-18T20:02:34Z,https://arxiv.org/abs/1308.3892v3,"The possibility to analyze everyday monetary transactions is limited by the scarcity of available data, as this kind of information is usually considered highly sensitive. Present econophysics models are usually employed on presumed random networks of interacting agents, and only macroscopic properties (e.g. the resulting wealth distribution) are compared to real-world data. In this paper, we analyze BitCoin, which is a novel digital currency system, where the complete list of transactions is publicly available. Using this dataset, we reconstruct the network of transactions, and extract the time and amount of each payment. We analyze the structure of the transaction network by measuring network characteristics over time, such as the degree distribution, degree correlations and clustering. We find that linear preferential attachment drives the growth of the network. We also study the dynamics taking place on the transaction network, i.e. the flow of money. We measure temporal patterns and the wealth accumulation. Investigating the microscopic statistics of money movement, we find that sublinear preferential attachment governs the evolution of the wealth distribution. We report a scaling relation between the degree and wealth associated to individual nodes.","physics.soc-ph, cs.SI, q-fin.GN","['physics.soc-ph', 'cs.SI', 'q-fin.GN']",1308.3892v3,10.1371/journal.pone.0086197,Project website: http://www.vo.elte.hu/bitcoin/; updated after publication,"PLoS ONE 9(2): e86197, 2014",physics.soc-ph,bitcoin
