"autor","autorId","autorUrl","comentario","likes","publicado_em","atualizado_em","canReply","isPublic","totalReplyCount","replyCount","replies","video_id","video_titulo","ordenacao_comentario","ordenacao_comentario_nome"
"@deraterius","UCCUqwxgumMjUhSLfp4FCKyQ","http://www.youtube.com/@deraterius","O cachorro é mais racional que os tutores","2","2023-09-25T17:53:11Z","2023-09-25T17:53:11Z","True","True","0","0","[]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
"@bspth__876","UCQWnqjONx6XtE08Ek-T07lg","http://www.youtube.com/@bspth__876","Achei que ia rolar uma brotheragem.","16","2023-09-15T18:48:02Z","2023-09-15T18:48:02Z","True","True","4","4","[{'autor': '@slayertv4267', 'comentario': 'Tmnc KKKKKKKKKKKKKKKKK', 'likes': 2, 'publicado_em': '2025-09-23T18:20:34Z'}, {'autor': '@ValZezão', 'comentario': 'No começo pareceu que era mesmo', 'likes': 1, 'publicado_em': '2025-09-25T00:21:25Z'}, {'autor': '@Pepovinicinhoamor', 'comentario': 'Esse big é meio esquisito ...', 'likes': 1, 'publicado_em': '2025-10-07T06:27:28Z'}, {'autor': '@SilvaPE93', 'comentario': 'Rolou uma sarrada', 'likes': 0, 'publicado_em': '2025-11-21T13:00:14Z'}]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
"@severianocardoso7251","UCsYV_v44xkgn42-V-UYFlQQ","http://www.youtube.com/@severianocardoso7251","Que cão controlado, parabéns!. Caso algo saia do controle, a responsabilidade é total do tutor .","49","2023-09-13T11:49:02Z","2023-09-13T11:49:01Z","True","True","1","1","[{'autor': '@Gustavo-u8m3o', 'comentario': 'Na verdade ele está mostrando dominância, se o outro dog não aceitasse teria uma seria briga, ele não estava mostrando controle apenas dominância', 'likes': 0, 'publicado_em': '2025-09-21T14:58:37Z'}]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
"@reginaldovieira9909","UCuMzFP0YL-nUoMtwUOBwB6Q","http://www.youtube.com/@reginaldovieira9909","Coloque um cão macho adulto com o Big pra ver se ele vai ser amoroso kkkkk
Esse aí é fácil, é um filhote. E o que ele faz não é brincadeira, é demonstração de liderança.","295","2023-09-12T00:57:45Z","2023-09-12T00:57:44Z","True","True","17","5","[{'autor': '@raposadefogo2012', 'comentario': 'Esses caras são idiotas, ""bom e amoroso "" uma piada kkkkk', 'likes': 42, 'publicado_em': '2023-09-16T21:45:40Z'}, {'autor': '@marcusphilipe160', 'comentario': 'Foi o que eu pensei Tb, ele se impôs sobre o filhote. Se o ""Dogo"", eu acho, é adulto acho que daria ruim.', 'likes': 13, 'publicado_em': '2023-09-19T10:38:24Z'}, {'autor': '@marcosvinicios6820', 'comentario': '\u200b@marcusphilipe160se fosse um adulto o big i cair no pau', 'likes': 5, 'publicado_em': '2023-09-21T20:21:56Z'}, {'autor': '@paulocarvalho9671', 'comentario': 'Coloca ele perto dum Pitt Bull kkkk esses Monster Bully red não aquenta correr nem 20 metros imagina uma briga 😂😂😂', 'likes': 5, 'publicado_em': '2023-10-03T18:25:25Z'}, {'autor': '@antoniacarvalho3575', 'comentario': 'Não existe essa de animal bom e amoroso. Ele é animal. Já noticiaram tantos casos referentes a animais que atacam o próprio dono. Eles tem bocas e dentes afiados. Eu é que não confio.', 'likes': 5, 'publicado_em': '2023-10-04T18:19:57Z'}]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
"@Luciano-my2vu","UCdr6igAdD0uR2HtCdz0Yfig","http://www.youtube.com/@Luciano-my2vu","AMIGO.... BICHO É BICHO.... CUIDADO COM AS PESSOAS. RESPEITAR E PREVINIR.","131","2023-09-11T16:23:54Z","2023-09-11T16:23:54Z","True","True","6","5","[{'autor': '@Mattos124', 'comentario': 'Humanos também são bicho', 'likes': 1, 'publicado_em': '2023-11-03T14:52:39Z'}, {'autor': '@NoDishes678', 'comentario': '\u200b@Mattos124e mata igual kk. Não entendi o comparativo', 'likes': 0, 'publicado_em': '2023-11-07T11:56:02Z'}, {'autor': '@Diddyw', 'comentario': '\u200b@NoDishes678Ne😂😂', 'likes': 0, 'publicado_em': '2023-11-08T21:33:05Z'}, {'autor': '@anoncensored2042', 'comentario': '\u200b@NoDishes678 Rapaz, você quer generalizar? Se você se acha um bicho igual a todos os animais irracionais, é problema seu, não me ponha nesse meio, eu sou um ser racional e não mato ninguém, e já que a ideia é essa, que o ser humano é bicho igual esses cachorros, se juntem vocês três aí nesse comentário e vão viver no mato, vivam como bicho então, estão mexendo no celular, na Internet e vestidos por que???', 'likes': 0, 'publicado_em': '2025-09-10T22:59:50Z'}, {'autor': '@bernardocarvalhopicoli5665', 'comentario': '@Mattos124 e eu sou um hipopótamo', 'likes': 0, 'publicado_em': '2025-11-06T00:45:20Z'}]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
"@pernambucana81","UCkO0OLpisz3bZdVi_5UaFyA","http://www.youtube.com/@pernambucana81","Esse rabinho inquieto já diz tudo 😊❤","20","2023-09-11T15:29:58Z","2023-09-11T15:29:58Z","True","True","1","1","[{'autor': '@Miiaxlr', 'comentario': 'Rabo balançando não é sinal de que está feliz, depende muito da ocasião, até mesmo quando o cão faz aqueles movimentos de que ""quer brincar"",as vezes pode estar sinalizando que está desconfortável ou que quer espaço,por isso aprender sobre sinais é importante!', 'likes': 2, 'publicado_em': '2024-06-10T19:36:35Z'}]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
"@kevinfracchia","UCf_XyTRz6FAJHRf6b5T08Vw","http://www.youtube.com/@kevinfracchia","Não menospreze esse comportamento, o meu também nunca tinha atacado, até eu deixar ele junto com a fêmea que eu tinha acabado de adquirir e ele quase matou ela. Os traços são os mesmos, do nada ele montou nela e ela tentou sair e ele grudou no pescoço sem dó, até eu tirar já tinha machucado ela. Não deixe isso acontecer","295","2023-09-10T06:50:05Z","2023-09-10T06:50:05Z","True","True","25","5","[{'autor': '@inteligentementecorreto618', 'comentario': 'Isso mesmo esses cães são os filhos do ""CÃO"" se é que me entende.', 'likes': 19, 'publicado_em': '2023-09-17T01:55:19Z'}, {'autor': '@alanalves9645', 'comentario': 'Então você não conhecia o seu próprio cachorro, isso é de criação', 'likes': 5, 'publicado_em': '2023-09-19T03:48:09Z'}, {'autor': '@MegaBrancao', 'comentario': 'Perfeitamente, quando ele se arrepiou se o outro cão fisesse algum movimento brusco ele ia atacar com certeza.', 'likes': 16, 'publicado_em': '2023-09-20T05:24:57Z'}, {'autor': '@lucianoluchi9934', 'comentario': 'Meu amigo falava com orgulho o pit dele era incrível,  um belo dia o cachorro atacou ele do nada, e quase arrancou seu tornezelo, ate hoje anda mancando, rompeu os ligamentos, deu maior b.o. quase deu RUIM', 'likes': 15, 'publicado_em': '2023-09-20T08:19:20Z'}, {'autor': '@rasputin7521', 'comentario': '\u200b@alanalves9645, resposta de quem não entende p*** de cachorro e acha que tudo se resume a criação.', 'likes': 17, 'publicado_em': '2023-09-21T17:42:42Z'}]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
"@gbenettiborges","UCllazr-ePg1iFH2wI1rOoOA","http://www.youtube.com/@gbenettiborges","Na vdd oq o big está fazendo é mostrar dominância. Caso o outro não gostasse e reagisse poderia sair uma briga ai. Quando se tem um cachorro desse porte é bom ter um certo conhecimento. Colocou a criança em risco ai","1296","2023-09-10T03:24:23Z","2023-09-10T03:24:22Z","True","True","65","5","[{'autor': '@adriananunes9285', 'comentario': 'Concordo totalmente.', 'likes': 66, 'publicado_em': '2023-09-18T18:59:55Z'}, {'autor': '@rodrigues_gomess', 'comentario': 'E o cachorrinho também', 'likes': 44, 'publicado_em': '2023-09-20T05:56:40Z'}, {'autor': '@Celsosoaresjr', 'comentario': 'ESSES CARAS TEM É BOSTA NA MULEIRA', 'likes': 1, 'publicado_em': '2023-09-21T02:15:17Z'}, {'autor': '@marciojosedossantos8478', 'comentario': 'Exatamente.', 'likes': 13, 'publicado_em': '2023-09-22T16:37:36Z'}, {'autor': '@naonasceremos658', 'comentario': 'Perfeito', 'likes': 7, 'publicado_em': '2023-09-22T20:08:40Z'}]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
"@Eduardo-yx9mz","UC0dV3JrplaGuN7ua_qig6dg","http://www.youtube.com/@Eduardo-yx9mz","O Big na verdade está mostrando um comportamento realmente agressivo contra o outro cachorro, no ato de subir nas costas dele, seria uma maneira de mostrar dominância, ou seja que naquele lugar ali ele quem manda. No canal do Dragons Pit Kennel, ele explica um pouco melhor sobre isso.","693","2023-09-06T02:13:11Z","2023-09-06T02:13:11Z","True","True","41","5","[{'autor': '@jhonatan9232', 'comentario': 'Colocaram a criança em perigo', 'likes': 66, 'publicado_em': '2023-09-08T18:02:51Z'}, {'autor': '@gbenettiborges', 'comentario': 'Exatamente. Se o de branco fosse mais velho talvez tivesse reagido e daria uma briga ai', 'likes': 61, 'publicado_em': '2023-09-10T03:24:59Z'}, {'autor': '@lucasbatista4500', 'comentario': 'Isso mesmo... impondo toda dominância. Se o outro fosse adulto , a história seria diferente', 'likes': 30, 'publicado_em': '2023-09-11T16:48:36Z'}, {'autor': '@gustavinhonojapao7952', 'comentario': '@jhonatan9232Cala boca se caso tivesse uma briga séria por teritorio não por pesoa seria só os dois que iria brigar não iria pra sima do mulek e outro vc já ouviu falar sobre a índole do cao o raginar e de boa índole cão de companhia', 'likes': 5, 'publicado_em': '2023-09-12T15:43:32Z'}, {'autor': '@jhonatan9232', 'comentario': '@gustavinhonojapao7952 flw cachorrão', 'likes': 0, 'publicado_em': '2023-09-12T16:58:01Z'}]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
"@raynerisousa6413","UCU9E2UR4AW7owjuMYPTN9kw","http://www.youtube.com/@raynerisousa6413","Nada de brincadeira, só está mostrando dominância, tranquilo mesmo é o filhote, caso não tivesse aceitado a dominância a briga era certa.","44","2023-09-05T17:13:54Z","2023-09-05T17:13:54Z","True","True","1","1","[{'autor': '@AdrianaSantos-ev6gk', 'comentario': 'Kkkkkkkk', 'likes': 1, 'publicado_em': '2025-10-13T13:10:02Z'}]","jPh6IYP_KRA","Isso aconteceu ontem e nada pode ser feito #pitbull #bichos #dog #bichinhos","1","Mais novos"
