author,rating,title,content,votes,date
Divo64,4,Fundos com nome de criptomoedas,Não gostei. Comprei sendo fundos e aparece como criptomoeda,0,2025-12-08T17:26:51-07:00
Alex_deluna,5,Excelente,"Minha primeira experiência com criptos, investimentos e a MB é muito fácil de utilizar e empolgante!!",0,2025-12-04T22:01:31-07:00
Azul cor de mel,1,Enganação,"Para comprar Bitcoin tá em 500 mil e pra vender tá em 480 mil, que maluquice é essa ?",0,2025-12-03T07:29:12-07:00
Eudouglasss,1,Golpe,Que arrependimento mesmo eu sabendo a hora certa de entrar e de sair esse app rouba demais pior investimento que fiz em minha vida foi nesse app,0,2025-11-13T04:02:09-07:00
Josh Alves,1,Dificultam muito,"Dificultam as movimentações, e fazem de tudo para você não tirar seu dinheiro",0,2025-11-03T01:35:11-07:00
VitorSouza93,1,Suporte ao cliente pessimo,O suporte ao cliente desse aplicativo ignorou várias vezes as minhas mensagens não resolveu meu problema não entrou em contato comigo não me respondeu eu atualmente estou fora do país preciso do dinheiro pra poder me alimentar e ter onde morar eu já mandei e-mails já abri solicitações porém eles continuam ignorando eu já não sei mais o que fazer vou ter que contratar um advogado,0,2025-10-19T08:16:41-07:00
rafacassimiro,2,O filtro de criptos “com saldo” não está funcionando,..,0,2025-10-14T09:16:22-07:00
Lixoaplicativo 123,1,Lixo de plataforma,"Plataforma toda bugada , vai vender moeda nunca vende no preço certo , e na hora q vc precisa quando vai vender não tem valor disponível pra venda. Não investem nesse lixo",0,2025-10-14T06:07:16-07:00
chorao1,5,Bloqueio de tela,"Sempre acontece de logo após inserir a senha, abrir a tela do portfólio e trava escurecendo um pouco a tela e não funciona mais.
Sempre procura atualizar o app quando acontece isso, mas no momento na há mais atualizações e o problema persiste, não consigo fazer operações importantes",0,2025-10-06T06:42:49-07:00
VitorBotelho,5,Bons investimentos,Uma ótima opção para compor carteira de investimentos,0,2025-10-01T09:06:58-07:00
