"regiao","valor"
"Acre","100"
"Distrito Federal","51"
"Paraná","48"
"São Paulo","44"
"Santa Catarina","42"
"Rio de Janeiro","42"
"Rio Grande do Sul","41"
"Minas Gerais","40"
"Mato Grosso do Sul","39"
"Espírito Santo","38"
"Goiás","38"
"Ceará","33"
"Mato Grosso","32"
"Pernambuco","32"
"Bahia","30"
"Paraíba","29"
"Roraima","23"
"Rondônia","19"
"Rio Grande do Norte","17"
"Alagoas","14"
