"query","value"
"declare cripto","36350"
"solano cripto","32700"
"cripto pixel","5700"
"kraken","4700"
"cripto bubles","2200"
"bicicleta aro 29","500"
"cripto news","150"
"cripto cns","90"
"carteira cripto","50"
