"data","valor"
"2025-11-12","0"
"2025-11-13","0"
"2025-11-14","0"
"2025-11-15","0"
"2025-11-16","0"
"2025-11-17","0"
"2025-11-18","0"
"2025-11-19","0"
"2025-11-20","0"
"2025-11-21","0"
"2025-11-22","0"
"2025-11-23","0"
"2025-11-24","0"
"2025-11-25","0"
"2025-11-26","0"
"2025-11-27","0"
"2025-11-28","77"
"2025-11-29","49"
"2025-11-30","35"
"2025-12-01","35"
"2025-12-02","50"
"2025-12-03","65"
"2025-12-04","45"
"2025-12-05","100"
"2025-12-06","65"
"2025-12-07","61"
"2025-12-08","54"
"2025-12-09","60"
"2025-12-10","56"
"2025-12-11","50"
"2025-12-12","0"
