autor,comentario,likes,publicado_em,video_id,video_titulo
@edsoniima7831,Realmente já vi vários foguetes cair,0,2025-11-09T19:01:24Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@RonieDS,"Fui fazer um cadastro de dispensa de outorga de radio amador no site da Anatel, a senha veio no corpo do email kkkk",0,2025-10-26T17:02:17Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@VagnerAraujoPereira,Putz! Minha mente velha e cansada vai entrar em colapsco com este conteúdo.,0,2025-09-30T19:45:40Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@nathanr6479,Assistido,0,2025-09-17T22:41:03Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@samueldias2059,ele mijando os dev kkkkkkkkkkk,1,2025-08-30T19:42:11Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@willian.engematex,Muito bom! Estou assistindo para saber como auditar a segurança em meu local de trabalho.,0,2025-08-25T14:10:48Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@Tiagolas007,"Quando via que utilizavam o sha1 e sha256 para criptografar senhas eu sempre pensei nessas colisões, pois é fisicamente impossível você ter valores 100% distintos com um tamanho fixo para qualquer conteúdo. Um arquivo .PDF pode ter o mesmo sha1 de uma senha de 8 dígitos. Fico feliz de saber que eu não estava pensando errado",0,2025-08-17T23:02:29Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@nick_p_gp9640,"Melhor que a aula da minha faculdade, uma aula meus amigos",1,2025-07-25T22:34:01Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@DegPlus_Deg,Caraca!!! Manja muito @Akitando,0,2025-07-20T00:23:13Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@apenasON,"Muito bom Akita, é impressionante como sql inject ainda funciona até hoje.",0,2025-05-10T22:01:27Z,CcU5Kc_FN_4,Entendendo Conceitos Básicos de CRIPTOGRAFIA | Parte 1/2
@valeriacastagna3357,Quem nao tem o disco de César?,0,2025-10-30T19:12:11Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@JoãoLuccaDolci-b4g,usa código morse uai tipo isso --- ..,0,2025-10-27T22:56:07Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@Andrezinhokkks,"Realmente interessante, em 7 longos minutos consegui chegar ao resultado,porém pensei que era muito inteligente... Vi comentários (reais ou não) com 3 minutos 😥 então vi que sou normal""infelizmente"".",0,2025-09-23T03:34:02Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@claudianemarques2153,23x43,0,2025-09-07T20:15:26Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@NoahNunesSantos2017,"Meu sonho era enterder a criptografia e finalmente consegui saber :)

bnp tfvt wjefpt",1,2025-09-01T16:07:02Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@EsterSilva-o7n,omp+pcv!,0,2025-08-31T08:58:21Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@KakaMarques-bl3tj,"CARA! VAMOS FALAR A VERDADE: EU INSTALO UM PEGASUS NO SEU SMARTPHONE E AÍ AONDE TÁ A CRIPTOGRAFIA QUE VAI TE PROTEGER? AFFFFF.... ISSO NÃO FUNCIONA SE O NOSSO APARELHO FOR HACKEADO, NÉ? ABRAÇO!",0,2025-08-16T21:35:51Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@FÜriOsA-c6w,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2025-07-31T22:35:04Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@habibi_1991,Imagino como vai ser quando a Computação Quântica chegar...,1,2025-07-27T21:39:07Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@wilsonmonteiro,Onde eu posso comprar este Disco de César apresentado no vídeo?,0,2025-07-21T13:44:50Z,aTI99jztZds,MENSAGEM SECRETA: Entenda a CRIPTOGRAFIA
@eduardomarques8971,"e possivel hackear ou invadir
 um hd criptografado?",0,2024-12-28T04:22:06Z,qHFbuXpz7e4,Criptografia (Guia Básico para Entender Como Funciona) // Dicionário do Programador
@valdirgamer3009,Não consigo acessar o site da Amazon (meus dados estão criptografado neste aparelho) não sei resolver.,0,2024-11-08T00:41:58Z,qHFbuXpz7e4,Criptografia (Guia Básico para Entender Como Funciona) // Dicionário do Programador
@CantorDanielAntunesDosSantos02,Vai saber...,0,2024-10-27T12:03:42Z,qHFbuXpz7e4,Criptografia (Guia Básico para Entender Como Funciona) // Dicionário do Programador
@zeluizdosax,Comprimir um arquivo assinado digitalmente quebra a criptografia?,0,2024-07-10T06:48:18Z,qHFbuXpz7e4,Criptografia (Guia Básico para Entender Como Funciona) // Dicionário do Programador
@esau.teodoro,Muito topo o vídeo,0,2024-07-01T20:32:01Z,qHFbuXpz7e4,Criptografia (Guia Básico para Entender Como Funciona) // Dicionário do Programador
