"regiao","valor"
"Mato Grosso","100"
"Rio Grande do Norte","94"
"Espírito Santo","75"
"Ceará","66"
"Goiás","65"
"Paraná","64"
"São Paulo","62"
"Maranhão","60"
"Mato Grosso do Sul","60"
"Bahia","56"
"Minas Gerais","56"
"Santa Catarina","54"
"Rio de Janeiro","52"
"Rio Grande do Sul","46"
"Distrito Federal","44"
"Pará","43"
"Pernambuco","36"
"Sergipe","0"
"Roraima","0"
"Rondônia","0"
