"query","value"
"bitcoin hoje","100"
"bitcoin dólar","29"
"grafico bitcoin","21"
"bitcoin agora","20"
"bitcoin dolar","20"
"bitcoin hoje dólar","19"
"bitcoin usd","15"
"bitcoin hoje real","15"
"gráfico bitcoin","14"
"moeda bitcoin","13"
"bitcoin png","13"
"bitcoin logo","12"
"mercado bitcoin","12"
"ethereum","10"
"gráfico bitcoin hoje","10"
"bitcoin agora hoje","10"
"bitcoin wallpaper","8"
"bitcoin hoje dólar gráfico","6"
"quanto vale um bitcoin","4"
"bitcoin gif","4"
