"query","value"
"bitcoin hoje","100"
"bitcoin dolar","30"
"fed","21"
"fed bitcoin","18"
"noticias bitcoin","11"
"bitcoin hoje dólar","10"
"bitcoin usd","7"
"bitcoin price","6"
"bitcoin strategy","3"
