"query","value"
"bitcoin hoje dólar gráfico","105300"
"bitcoin gif","65050"
"ethereum","250"
"bitcoin logo","130"
"bitcoin dólar","110"
"bitcoin usd","60"
"bitcoin hoje dólar","60"
"bitcoin agora hoje","50"
"moeda bitcoin","40"
