"query","value"
"bitcoin hoje","100"
"bitcoin dolar","51"
"dolar","48"
"bitcoin dólar","35"
"dólar","34"
"bitcoin usd","21"
"dólar hoje","20"
"bitcoin hoje dólar","20"
"valor bitcoin","18"
"bitcoin hoje dolar","17"
"dolar hoje","16"
"bitcoin real","16"
"cotação bitcoin","13"
"bitcoin usd hoje","10"
"ethereum","9"
"bitcoin em dolar","8"
"bitcoin agora","7"
"valor do bitcoin","7"
"gráfico bitcoin","7"
"preço bitcoin","7"
