"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"@juli.a.anaaa","https://itunes.apple.com/br/reviews/id1477201458","1","Pura fake news","Eu testei fazendo perguntas óbvias, não tem nada de astrológico aqui","0","2025-01-02T10:55:50-07:00","12136649219","3.2.6","0","2","Mais antigos"
"victoria amanda soares","https://itunes.apple.com/br/reviews/id1260746867","5","Muito bom!","Ainda estou utilizando o teste gratuito, estou adorando muito bem completo e fácil de entender","1","2025-01-28T08:57:14-07:00","12241695716","4.0.3","0","2","Mais antigos"
"Ya.ac","https://itunes.apple.com/br/reviews/id1752229598","1","horrível","péssimo, I.A mal programada, fica repetindo as mesmas coisas, diz que vai analisar e não analisa, só sabe dar as mesmas 3 informações, ruim demais, chat gpt é mais útil pra isso 👍🏻","0","2025-02-05T05:57:10-07:00","12273803621","4.0.4","0","2","Mais antigos"
"1993ayas","https://itunes.apple.com/br/reviews/id1683720801","3","Falso anúncio","Estava indo bem, até o momento que o app é pago. Depois que você atualiza, ele não funciona e diz que é a conexão com a internet.","0","2025-02-07T03:58:43-07:00","12281475032","4.0.5","0","2","Mais antigos"
"gy2806","https://itunes.apple.com/br/reviews/id1178977380","5","amei","o app","1","2025-02-09T15:23:41-07:00","12291985948","4.0.5","1","2","Mais antigos"
"Leticia237$3!","https://itunes.apple.com/br/reviews/id1752907854","5","Estrelas","Ótimo aplicativo","0","2025-03-01T14:06:49-07:00","12370787400","4.1.1","0","2","Mais antigos"
"yuyunimura","https://itunes.apple.com/br/reviews/id1619833007","5","Ótimo","Excelente","0","2025-03-05T18:13:39-07:00","12386883451","4.1.1","0","2","Mais antigos"
"Lavv Duarte","https://itunes.apple.com/br/reviews/id1763090676","5","Aplicativo nota 10","Amo demais esse aplicativo, ele me ajuda em várias questões, e estou sempre de olho nele para saber de coisas novas!","0","2025-03-07T05:53:26-07:00","12392437928","4.1.1","0","2","Mais antigos"
"Grazi Simõess","https://itunes.apple.com/br/reviews/id568056647","1","Pago","Tudo pago","0","2025-03-23T18:59:40-07:00","12457025486","5.0.0","0","2","Mais antigos"
"Eliana Guerra","https://itunes.apple.com/br/reviews/id448603445","4","Gostei muito","Adorei o formato e a dinâmica do app! Diferente dos outros. Estou experimentando, mas já gostando","0","2025-03-28T04:10:06-07:00","12474003632","5.0.0","0","2","Mais antigos"
"Marianna Carvalho","https://itunes.apple.com/br/reviews/id566547835","1","HORRÍVEL! NÃO ASSINEM! FURADA","Não funciona! Quando tenta falar com eles, simplesmente não respondem! Quero meu dinheiro de volta!!!","0","2025-04-22T16:14:35-07:00","12574669233","5.1.1","0","2","Mais antigos"
