"autor","autorId","autorUrl","comentario","likes","publicado_em","atualizado_em","canReply","isPublic","totalReplyCount","replyCount","replies","video_id","video_titulo","ordenacao_comentario","ordenacao_comentario_nome"
"@Mironeto","UC8PX88_LPTtFl7Hbg8w3KJw","http://www.youtube.com/@Mironeto","Muito fácil mesmo! Aplicativo é Top!","0","2025-10-20T14:55:18Z","2025-10-20T14:55:18Z","True","True","0","0","[]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@Bitcoinwallettrezor","UCaTZvcomWPlkFerxpkd645w","http://www.youtube.com/@Bitcoinwallettrezor","Nao comprem btc em plataformas nacionais 🤡🤡 o taxade vai te pegar  👀👀💸💸","5","2025-10-01T14:37:16Z","2025-10-01T14:37:35Z","True","True","0","0","[]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@Portal369-Universo.Paralelo","UCI4DfAsYjiEOm_oUmHLnk0A","http://www.youtube.com/@Portal369-Universo.Paralelo","Parabéns pelo seu trabalho Denny. Poderia fazer um vídeo dando sua opinião sobre a GoMining?","0","2025-09-30T02:05:37Z","2025-09-30T02:05:37Z","True","True","1","1","[{'autor': '@dennytorres', 'comentario': 'Não conheço, mas se for algum tipo de mineração em nuvem recomendo dar uma olhada no vídeo que eu falo sobre esse tipo de promoções.', 'likes': 0, 'publicado_em': '2025-09-30T11:27:35Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@Jeff-zc5xx","UC8mYu5jPARW3YcbzyTq-aKQ","http://www.youtube.com/@Jeff-zc5xx","Quero só comprar e enviar pra on chain. Pode dar ruim com a RF? Não declaro Bitica nem a pau …","0","2025-09-29T20:57:29Z","2025-09-29T20:57:29Z","True","True","0","0","[]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@Gabrielbrazzo","UC5uTNckbPRcl6ep_NJeKDTQ","http://www.youtube.com/@Gabrielbrazzo","Satoshi vai ficar caro daqui 10 anos","3","2025-09-29T16:27:40Z","2025-09-29T16:27:40Z","True","True","1","1","[{'autor': '@dennytorres', 'comentario': 'Nem precisa esperar tanto tempo', 'likes': 1, 'publicado_em': '2025-09-29T16:45:10Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@BernaCripto","UCExkUb-RmmBFnNxXmc5urGw","http://www.youtube.com/@BernaCripto","Não sei se foi de propósito, mas o mic redondinho em cima do i do Bipa ficou muito bom kkkkkkkkkkkk","1","2025-09-29T15:19:19Z","2025-09-29T15:19:19Z","True","True","1","1","[{'autor': '@dennytorres', 'comentario': 'Lógico que foi 👏😎', 'likes': 0, 'publicado_em': '2025-09-29T16:16:32Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@magnogomes141","UCgrTnU-f9Ws15YpsHw1JQ2g","http://www.youtube.com/@magnogomes141","A bipa é top gosto muito do serviço deles","0","2025-09-29T14:31:47Z","2025-09-29T14:31:47Z","True","True","0","0","[]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@lazarosobrinho4563","UCHy92BNcoP464t1WmxT3mfg","http://www.youtube.com/@lazarosobrinho4563","não indico.,,,fecharam minha conta depois de comprar BTC por la, me pediram declaração de IR e de onde estava vindo meu dinheiro","8","2025-09-29T14:25:00Z","2025-09-29T14:25:00Z","True","True","5","5","[{'autor': '@techpoprs', 'comentario': '@lazarosobrinho4563 TB aconteceu comigo, parei de comprar e vou passar pra mooze, essa atitude não me passou segurança', 'likes': 0, 'publicado_em': '2025-09-29T14:32:51Z'}, {'autor': '@dennytorres', 'comentario': 'Infelizmente empresas brasileiras são obrigadas a fazerem isso. Caso contrário o governo fecha a conta deles 🤷', 'likes': 2, 'publicado_em': '2025-09-29T16:17:55Z'}, {'autor': '@lazarosobrinho4563', 'comentario': '@dennytorres então nao devemos boicotar essas plataformas', 'likes': 0, 'publicado_em': '2025-09-29T16:56:10Z'}, {'autor': '@dennytorres', 'comentario': 'Isso não ajuda em nada\nDevemos comprar BTC e sacar para nossas carteiras.', 'likes': 1, 'publicado_em': '2025-09-29T21:43:31Z'}, {'autor': '@carlosfg3677', 'comentario': 'Fecharam a minha conta também. Fiz reclamação no Reclameaqui, mas não adiantou. Eu perguntei se eu tinha feito algo de errado. Eles disseram que não.\nAcho que era  porque eu comprava poucos Satoshis e eu retirava logo em seguida. Não sei!', 'likes': 2, 'publicado_em': '2025-10-05T17:34:10Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@AACDCH","UC3_rUgb1dGwlTTCJ36uRJuw","http://www.youtube.com/@AACDCH","Bom dia Denny. Vídeos como este seu são de utilidade pública, pois quando o povão acordar e perceber o desastre no qual estamos, certamente que encontrarão este simple tutorial a orientá-los.
Saúde e Paz a todos!","1","2025-09-29T14:05:04Z","2025-09-29T14:05:04Z","True","True","1","1","[{'autor': '@dennytorres', 'comentario': 'Fico feliz que tenha curtido\nObrigado pelo comentário', 'likes': 1, 'publicado_em': '2025-09-29T14:08:59Z'}]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
"@dennytorres","UCxfUF7Kkr9JMFe8HzYeRNjA","http://www.youtube.com/@dennytorres","💴 Crie sua conta na BIPA - https://bipa.app/convite/minirig","2","2025-09-29T12:59:29Z","2025-09-29T12:59:29Z","True","True","0","0","[]","YjANVJhS-DM","⚡ O APP MAIS SIMPLES PARA COMPRAR BITCOIN - BIPA @usebipa","1","Mais novos"
