author,rating,title,content,votes,date
Tata280@,5,Tales,Ótimo,0,2025-04-05T16:28:27-07:00
"benato, joao",5,Pratico,"Fácil visualização, histórico e atualizações",0,2025-03-20T05:52:18-07:00
Inaldobkp,5,Muito bom,Excelente,0,2025-02-14T09:34:39-07:00
IuryRego,5,Top,Maravilhoso,0,2025-01-16T12:31:28-07:00
Jota Sampa,5,Muito bom.,Você pode personalizar para ver a evolução de suas criptas favoritas.,0,2024-12-09T07:04:34-07:00
roger basq,2,Diversas carteiras não suporta,"Não suporta metamask. Nem lê tokens sol. Nada q não seja padrão. Bem ruim isso pois o app é bom, mas faltam recursos pra ser perfeito. Não dá pra acompanhar o saldo real.",0,2024-12-03T17:26:30-07:00
@tuubarao99,5,Ótimo aplicativo,Otimo app,0,2024-07-07T17:24:05-07:00
David Cesarino,2,"Interface is unreliable, pain to use with other fiat","It is a pain to add a trade. Keyboard hides itself without warning (probably a widget sending weird keyboard close signals), frequently making me touch the wrong button to close so I need to restart all over again. Then... it can't reason the currency parity to another fiat money considering the price I paid for the crypto... I need to put the USD to currency price. You can't configure a custom tracker to sort these fiat prices things out (or maybe it is buried deep down somewhere). In short, buggy interface and useless to keep track of cryptos in other fiat languages/middlemen.",0,2024-05-03T07:59:59-07:00
danielvmac,4,Bom mas pode melhorar,"O software é ótimo mas tem um erro irritante, ele não reconhece a moeda SOL corretamente e mostra ou SOLA ou SOLO (tanto na binance como na Coinbase). Isso faz com que o cálculo do valor da carteira fique errado. Já reportei no help center mas é como se não houvesse ninguém do outro lado, nunca recebi nem unha resposta. Para as outras moedas funciona bem.",0,2024-03-07T07:29:36-07:00
ChicoCandido,5,Muito bom,Quer saber sobre crypto? Este é o lugar,0,2024-02-25T19:52:02-07:00
teste 01000000,5,otimo,muito bom,0,2024-02-08T17:27:18-07:00
Snoopol,5,Muito bom,Um dos melhores.,0,2023-01-04T23:10:27-07:00
eoguiga,5,Invictry,Plataforma top,0,2022-11-11T08:38:50-07:00
_GT_07,5,Muito bom,Muito bom perfeito para analista de crptomoedas,0,2022-10-29T04:17:38-07:00
MARKIM2000,5,Muito bom,Muito bom o aplicativo,0,2022-04-25T23:33:56-07:00
Rogin2212,3,É bom mas falta funcionalidades importantes.,"CADÊ O PREÇO MÉDIO!?????
NÃO MOSTRA ONDE VENDE MOEDAS PEQUENAS.
MERCADO PADRÃO NÃO APARECE A CRYPTO.COM",0,2022-04-22T20:26:15-07:00
ericmesmo,5,Sensacional,Aplicativo cumpre o que promete e sua função de importar automaticamente os dados da corretora (pago) é top demais,0,2022-04-09T08:33:55-07:00
adriegytfu,5,Muito bom,Muito bom,0,2022-03-05T03:30:42-07:00
PalmaJundiai,1,The price is not updated in real-time,"In Apple Watch and App iPhone, it's a very late update at Pro version.",0,2022-03-05T00:01:24-07:00
Wmaximus,4,Funcional,"O aplicativo é bom, consigo acompanhar com perfeição, o único ponto negativo é que a porcentagem mostrada aqui difere um pouco das corretoras e etc...",0,2022-02-23T20:50:44-07:00
Alecoll,5,TOP,Muito bom e muito completo!,0,2022-02-09T09:48:26-07:00
Le_MegaChongs,5,Ótimo App!!! Cumpre o que promete,"Ótimo App, simples , didático , super atualizado !!",0,2022-01-14T02:40:47-07:00
AndyCunha,5,Excelente App,"Excelente aplicativo, a funcionalidade de criar o seu próprio portfólio é incrível! E de quebra o App é bem bonito",0,2022-01-09T05:49:35-07:00
Princesamaya20,5,Top,Recomendo,0,2021-12-30T21:05:37-07:00
myrielleoliver,3,Bom,Gostei,0,2021-12-12T22:23:50-07:00
alexdsf88,2,More or less,Referral is not correct. The Vector Pro is better.,0,2021-12-12T10:23:04-07:00
Pepeparigot,4,ok,try it,0,2021-12-04T18:34:26-07:00
asoliveiraSP,5,Excelente!,"Ótimo app para acompanhamento de preços, notícias e portfólio crypto. Top!!!",0,2021-11-30T03:50:46-07:00
Elasticopilulito,5,Ótimo,Otimo aplicativo para informar sobre o mercado das criptos!!!,0,2021-11-23T19:45:20-07:00
victorvharo,5,Um dos melhores aplicativos para monitorar criptos,"Um dos melhores aplicativos para monitorar criptos, com integração com Apple Watch",0,2021-11-17T14:57:34-07:00
alessandrobr,5,O melhor,"Sem dúvida o melhor aplicativo, só podia ter versão para Windows :)",0,2021-11-02T19:19:11-07:00
neofbi,3,App fecha sozinho,De vez em quando o app fecha sozinho,0,2021-10-28T05:58:40-07:00
R720326,5,Faltam moedas,Faltam moedas como POLIS (Star Atlas DAO) e DYDX,0,2021-10-24T10:40:32-07:00
Mfelceg,5,Avaliação,App muito eficiente por permitir rodar no Apple Watch.,0,2021-10-17T17:21:44-07:00
licaoo,4,Muito bom,Precisa consertar o a cripto GALA e colocar a cripto ecash (XEC).,0,2021-09-18T12:48:41-07:00
Josue_Santos,5,Otimo!,Utilizo para ler noticias e ver os charts.,0,2021-09-11T06:20:41-07:00
lenine23,5,Ótimo App,Muita funcionalidade,0,2021-08-14T10:02:46-07:00
BentoPraxedes,5,Ótimo,Muito bom,0,2021-07-29T11:52:18-07:00
Bill Ádias,5,Útil,"O app é muito útil para consultar as cotações das moedas pela facilidade dos gráficos, pela possibilidade de selecionar as moedas, pela facilidade de visualizar as informações por causa do fundo preto e pela quantidade de criptos disponíveis. Mm tendo conta na Binance, uso esse app por achá-lo mais pratico q os outros. Índico!",0,2021-06-17T06:11:20-07:00
Nathalia Bras,5,Ótimo,Ótimo,0,2021-05-24T09:10:58-07:00
Chigtbm,5,CTBMor,all great,0,2021-05-23T10:46:27-07:00
Nei Sales,5,NSA,Estou vendo ainda o funcionamento e não tenho opinião ainda.,0,2021-05-21T05:34:18-07:00
WadeVox,4,My favorit crypto tool,"Kinda heavy, hope future releases fix this",0,2021-05-18T04:58:58-07:00
EvertonDeolinda,1,Inútil,"Assinei e não consigo nem comprar e nem vender, conectei a minha API e mostra minhas moedas e meu saldo, nada mais.",0,2021-05-14T10:10:46-07:00
Nascimentofe,2,Erro,"Está apresentando um erro ao adicionar uma cripto, o custo está saindo maior que o custo real, acaba estragando todo o portfólio.",0,2021-05-13T03:27:00-07:00
ChristianHawk,2,Faltam muitos recursos,"- Não dá pra escolher moeda base BTC
- Não mostra gráfico evolutivo do portfolio inteiro com o tempo, só pizza snapshot
- Não suporta várias cold wallets como por exemplo BNB, ALGO",0,2021-05-06T06:09:46-07:00
Nerdux,5,Útil,Ótimo app para monitoramento,0,2021-05-02T07:33:45-07:00
ceccarello2020,5,Top,Parábens,0,2021-05-02T05:21:07-07:00
vmc victor,5,Melhor app de crypto. Recomendadíssimo!,Nota 10 para o app!,0,2021-04-30T23:19:41-07:00
Alineh Brito,5,Excelente,Amei o aplicativo,0,2021-04-24T13:50:15-07:00
GusSPB,5,Ótimo,Vale a pena. Excelente app,0,2021-04-24T10:24:33-07:00
Eirado,5,Muito bom,"Muito bom, melhorou com a atualização",0,2021-04-19T19:23:53-07:00
Eirado,5,Muito bom,"Atende bem, precisa corrigir alguns pequenos travamentos, versão pro vale a pena",0,2021-04-19T15:25:12-07:00
hhproc,5,such app,much wow,0,2021-04-19T02:51:21-07:00
chk999988,5,Excelente !,Ótimo app! Ajuda na organização das criptomoedas,0,2021-04-12T18:26:00-07:00
Jpauloazevedo,5,Best app for cripto alerts and News,I recommend this app,0,2021-04-12T11:00:35-07:00
mafs68,4,Poderia existir no ap tradução para outras línguas  português,Poderia existir,0,2021-04-11T14:32:42-07:00
Yago FS,5,Great,Works very well,0,2021-03-30T12:29:22-07:00
Willdjc,5,Top,Mas ainda pode melhorar,0,2021-03-23T03:43:32-07:00
felipemdrs,5,Muito completo,Excelente aplicativo,0,2021-03-22T23:31:22-07:00
Rhafael Gago,5,Ótimo,"Fácil de usar e muito intuitivo, até agora está suprindo todas minhas necessidades.",0,2021-03-20T06:39:45-07:00
Felixcatus,5,Organizado,Facilita a visualização das oscilações no seu portfólio.,0,2021-03-14T11:06:15-07:00
Soeslei,5,The best of all,Top,0,2021-02-28T09:13:36-07:00
Rafee7,5,Top,Aplicativo completo demais!,0,2021-02-22T18:45:09-07:00
pps silva,4,Ok,Pppphhjjifxgg ch uso uf fhhgfghgghv,1,2021-02-03T16:25:58-07:00
Alexandre Ortiz,5,Top,"Muita bom, informações completas sobre as cripto moedas",1,2021-01-11T14:56:57-07:00
Gu6D,5,Bom,"Se puderem utilizem o meu código quando entrarem em “Ajustes” -  “ Convidar amigos” - “Redeem Friend’s Code” 
6368EA",1,2020-12-30T02:08:50-07:00
Diegosturmer,3,Difícil de achar,"App não intuitivo, difícil de navegar",0,2020-12-19T14:38:33-07:00
Fioratti,4,Bom,Ainda em avaliação,0,2020-12-06T14:22:09-07:00
Koynonia,3,Não sincroniza,"Apesar de entrar em contato com o desenvolvedor informando que não conseguia fazer o sincronismo entre devices da mesma conta Apple, e o mesmo me responder informando que deveria desativar a sincronização nos 2 devices que estão na mesma conta Apple; e após ativar no device 1 (iPhone) e depois no device 2 (iPad), nada ocorre de sincronismo.

Se você exporta o CVS e o importa em um device (se vc um o Airdrop, o Crypto Pro não é uma opção), o mesmo não importa corretamente, tendo que criar um portifólio para efetivar a exportação. E mesmo assim, cria entradas diferentes.

E agora se repete com o app para Mac... um bom app, mas com sérios problemas de sincronização, inviabilizando usá-lo em todos os devices.",0,2020-11-26T13:33:56-07:00
Leandro193567,3,API,Will be nice if the system import the past transaction when using the API,1,2020-11-25T11:01:49-07:00
