Category: All categories

Region,energia solar: (4/23/23 - 4/23/24)
State of Mato Grosso,100
State of Mato Grosso do Sul,87
State of Piauí,84
State of Tocantins,79
State of Rondônia,78
State of Rio Grande do Norte,77
State of Roraima,76
State of Amapá,76
State of Pará,67
State of Bahia,66
State of Alagoas,65
State of Goiás,65
State of Pernambuco,64
State of Acre,63
State of Espírito Santo,62
State of Ceará,62
State of Minas Gerais,59
State of Rio Grande do Sul,55
State of Maranhão,51
State of Paraíba,50
State of Santa Catarina,50
State of Paraná,50
State of Amazonas,47
State of Sergipe,45
State of São Paulo,40
Federal District,40
State of Rio de Janeiro,39
