Category: All categories

Week,energia solar: (Brazil)
2023-04-23,76
2023-04-30,74
2023-05-07,77
2023-05-14,74
2023-05-21,86
2023-05-28,80
2023-06-04,76
2023-06-11,76
2023-06-18,76
2023-06-25,69
2023-07-02,65
2023-07-09,67
2023-07-16,63
2023-07-23,65
2023-07-30,73
2023-08-06,71
2023-08-13,78
2023-08-20,80
2023-08-27,77
2023-09-03,67
2023-09-10,80
2023-09-17,85
2023-09-24,86
2023-10-01,81
2023-10-08,71
2023-10-15,86
2023-10-22,84
2023-10-29,78
2023-11-05,100
2023-11-12,94
2023-11-19,100
2023-11-26,81
2023-12-03,81
2023-12-10,78
2023-12-17,74
2023-12-24,67
2023-12-31,66
2024-01-07,79
2024-01-14,85
2024-01-21,84
2024-01-28,75
2024-02-04,73
2024-02-11,76
2024-02-18,80
2024-02-25,85
2024-03-03,86
2024-03-10,89
2024-03-17,90
2024-03-24,84
2024-03-31,87
2024-04-07,82
2024-04-14,80
2024-04-21,75
