Category: All categories

Day,energia solar: (Brazil)
2024-03-23,67
2024-03-24,73
2024-03-25,94
2024-03-26,98
2024-03-27,98
2024-03-28,81
2024-03-29,71
2024-03-30,74
2024-03-31,56
2024-04-01,100
2024-04-02,98
2024-04-03,100
2024-04-04,89
2024-04-05,93
2024-04-06,66
2024-04-07,56
2024-04-08,92
2024-04-09,95
2024-04-10,97
2024-04-11,94
2024-04-12,87
2024-04-13,61
2024-04-14,52
2024-04-15,81
2024-04-16,90
2024-04-17,84
2024-04-18,86
2024-04-19,89
2024-04-20,59
2024-04-21,56
2024-04-22,87
2024-04-23,69
