Category: All categories

Region,energia solar: (1/23/24 - 4/23/24)
State of Mato Grosso do Sul,100
State of Mato Grosso,98
State of Rio Grande do Norte,88
State of Espírito Santo,80
State of Piauí,78
State of Alagoas,78
State of Tocantins,71
State of Roraima,71
State of Pernambuco,70
State of Rondônia,70
State of Amapá,68
State of Pará,66
State of Goiás,63
State of Bahia,63
State of Acre,57
State of Sergipe,56
State of Ceará,54
State of Paraíba,53
State of Rio Grande do Sul,51
State of Maranhão,50
State of Santa Catarina,49
State of Paraná,49
State of Minas Gerais,46
State of São Paulo,44
Federal District,40
State of Amazonas,36
State of Rio de Janeiro,36
