title,developer,rating,ratings_count,id,url
Binance: Compre BTC e Cripto,Binance Switzerland AG,4.8,152354,1436799971,https://apps.apple.com/br/app/binance-compre-btc-e-cripto/id1436799971?uo=4
Bybit: Compre e negocie cripto,Bybit Fintech Limited,4.9,14188,1488296980,https://apps.apple.com/br/app/bybit-compre-e-negocie-cripto/id1488296980?uo=4
Bitcoin.com Cryptocurrency Cap,Bitcoin.com,4.8,248,1252903728,https://apps.apple.com/br/app/bitcoin-com-cryptocurrency-cap/id1252903728?uo=4
MB | Mercado Bitcoin: criptos,Mercado Bitcoin,4.6,22212,1439360986,https://apps.apple.com/br/app/mb-mercado-bitcoin-criptos/id1439360986?uo=4
Bitybank: Bitcoin e Crypto,Biscoint,4.9,8466,1588152503,https://apps.apple.com/br/app/bitybank-bitcoin-e-crypto/id1588152503?uo=4
Bitcoin!,Ketchapp,4.1,1671,1319025639,https://apps.apple.com/br/app/bitcoin/id1319025639?uo=4
NovaDAX - Bitcoin Exchange,NOVADAX BRASIL PAGAMENTOS LTDA,4.6,2644,1472203612,https://apps.apple.com/br/app/novadax-bitcoin-exchange/id1472203612?uo=4
Trust: Crypto & Bitcoin Wallet,DApps Platform Software Services Ltd.,4.7,11523,1288339409,https://apps.apple.com/br/app/trust-crypto-bitcoin-wallet/id1288339409?uo=4
"Crypto.com: Compre Cripto, BTC",Crypto.com,4.7,8390,1262148500,https://apps.apple.com/br/app/crypto-com-compre-cripto-btc/id1262148500?uo=4
Bitcoin Miner - Crypto Mining,Lowhill Games Oy,4.6,696,6468313323,https://apps.apple.com/br/app/bitcoin-miner-crypto-mining/id6468313323?uo=4
Bitcoin Miner: Idle Tycoon,Fumb Games Ltd.,4.8,1307,1413770650,https://apps.apple.com/br/app/bitcoin-miner-idle-tycoon/id1413770650?uo=4
"Bipa - Bitcoin, Cartão e Pix",Bipa Ltda,4.8,8503,1516842324,https://apps.apple.com/br/app/bipa-bitcoin-cart%C3%A3o-e-pix/id1516842324?uo=4
MEXC: Compre Bitcoin e Cripto,"MEXC Fintech, Inc.",4.9,1941,1605393003,https://apps.apple.com/br/app/mexc-compre-bitcoin-e-cripto/id1605393003?uo=4
"Coinbase: Compre BTC, ETH, SOL","Coinbase, Inc.",4.8,11556,886427730,https://apps.apple.com/br/app/coinbase-compre-btc-eth-sol/id886427730?uo=4
Blockchain.com Comprar Bitcoin,Blockchain,4.8,7493,493253309,https://apps.apple.com/br/app/blockchain-com-comprar-bitcoin/id493253309?uo=4
CoinMarketCap: Crypto Tracker,CoinMarketCap,4.9,22540,1282107098,https://apps.apple.com/br/app/coinmarketcap-crypto-tracker/id1282107098?uo=4
Brasil Bitcoin: Compre Cripto,Brasil Bitcoin Servicos Digitais LTDA,4.5,2271,1519300849,https://apps.apple.com/br/app/brasil-bitcoin-compre-cripto/id1519300849?uo=4
Coinext: Comprar Bitcoin,Coinext,4.8,4838,1448731340,https://apps.apple.com/br/app/coinext-comprar-bitcoin/id1448731340?uo=4
Exodus: Wallet Cripto Bitcoin,"Exodus Movement, Inc.",4.7,1285,1414384820,https://apps.apple.com/br/app/exodus-wallet-cripto-bitcoin/id1414384820?uo=4
KuCoin-Compre Bitcoin e Cripto,KuCoin Pro,4.7,2041,1378956601,https://apps.apple.com/br/app/kucoin-compre-bitcoin-e-cripto/id1378956601?uo=4
