"autor","autorId","autorUrl","comentario","likes","publicado_em","atualizado_em","canReply","isPublic","totalReplyCount","replyCount","replies","video_id","video_titulo","ordenacao_comentario","ordenacao_comentario_nome"
"@MariaJoséVieiradeAlmeidaSilva","UCIxO_W1nejr9ooOZM3Dv4Zg","http://www.youtube.com/@MariaJos%C3%A9VieiradeAlmeidaSilva","Hj e tu como estás a minha vida 💗💗 a tua mãe 💖❤7","0","2025-12-11T13:19:01Z","2025-12-11T13:19:01Z","True","True","0","0","[]","I16-omwBgb8","Músicas de Natal 2026 - Feliz Natal 2026 - As Canções Mais Bonitas do Natal","1","Mais novos"
"@MariaJoséVieiradeAlmeidaSilva","UCIxO_W1nejr9ooOZM3Dv4Zg","http://www.youtube.com/@MariaJos%C3%A9VieiradeAlmeidaSilva","Hj e tu como estás a minha vida 💗💗 a tua mãe 💖❤7","0","2025-12-11T13:19:01Z","2025-12-11T13:19:01Z","True","True","0","0","[]","I16-omwBgb8","Músicas de Natal 2026 - Feliz Natal 2026 - As Canções Mais Bonitas do Natal","2","Mais antigos"
"@MariaJoséVieiradeAlmeidaSilva","UCIxO_W1nejr9ooOZM3Dv4Zg","http://www.youtube.com/@MariaJos%C3%A9VieiradeAlmeidaSilva","Hj e tu como estás a minha vida 💗💗 a tua mãe 💖❤7","0","2025-12-11T13:19:01Z","2025-12-11T13:19:01Z","True","True","0","0","[]","I16-omwBgb8","Músicas de Natal 2026 - Feliz Natal 2026 - As Canções Mais Bonitas do Natal","3","Mais curtidos"
"@MariaJoséVieiradeAlmeidaSilva","UCIxO_W1nejr9ooOZM3Dv4Zg","http://www.youtube.com/@MariaJos%C3%A9VieiradeAlmeidaSilva","Hj e tu como estás a minha vida 💗💗 a tua mãe 💖❤7","0","2025-12-11T13:19:01Z","2025-12-11T13:19:01Z","True","True","0","0","[]","I16-omwBgb8","Músicas de Natal 2026 - Feliz Natal 2026 - As Canções Mais Bonitas do Natal","4","Mais longos"
"@magalhaeseliasmorais4726","UCs8g-Fh_qSBTwvcr83u9aCg","http://www.youtube.com/@magalhaeseliasmorais4726","Um abençoado natal e um próspero ano para todos!!","0","2025-12-12T00:26:12Z","2025-12-12T00:26:12Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@magalhaeseliasmorais4726","UCs8g-Fh_qSBTwvcr83u9aCg","http://www.youtube.com/@magalhaeseliasmorais4726","Que lindas essas músicas, como é gostoso essa época do ano!!","0","2025-12-12T00:25:24Z","2025-12-12T00:25:24Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@KaioSantas","UCkK7K3F1SxIe4xa9mB_7Yng","http://www.youtube.com/@KaioSantas","Natal feliz novo  2026","3","2025-12-06T15:27:26Z","2025-12-06T15:27:26Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@veracierakowski3706","UCs7t7OSXeOisEXwNzsFHEog","http://www.youtube.com/@veracierakowski3706","Sapiranga, RS . 30 de Novembro de 2025.","2","2025-11-30T15:51:27Z","2025-11-30T15:52:36Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@FranciscoGabriel-v1j","UCguAwE7xhruuqcSFqYOt5ww","http://www.youtube.com/@FranciscoGabriel-v1j","amém 🙌","3","2025-11-30T14:00:47Z","2025-11-30T14:00:47Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@quiteriasilva1441","UCPoWcJ50J8CLOGs2xuvvZlw","http://www.youtube.com/@quiteriasilva1441","lindas as músicas 🎶 de Natal Jesus Amém","3","2025-11-26T14:31:13Z","2025-11-26T14:31:13Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@iedamariadalpra4771","UCCg-KURgDdFxL5ShozH-gCg","http://www.youtube.com/@iedamariadalpra4771","Feliz Natal meu povo brasileiro ❤🎉","3","2025-11-26T13:08:19Z","2025-11-26T13:08:19Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@joaogutembergrosasliragute912","UCBuUTQrsJKwyhhV6Ojo9Etw","http://www.youtube.com/@joaogutembergrosasliragute912","Feliz Natal para todos com muita saúde e paz  no coração","4","2025-11-22T02:49:22Z","2025-11-22T02:49:22Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@ednarodrigues2790","UCukK0iaDy4Us7cVX89aR3KA","http://www.youtube.com/@ednarodrigues2790","Deus  abençoe nos todos  e  o nosso  Brasil  também  amém","3","2025-11-21T17:26:06Z","2025-11-21T17:26:06Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@DaianeSilva-w2t","UCOCKxsMu15ddo_xK5RaFf5w","http://www.youtube.com/@DaianeSilva-w2t","Feliz Natal para todos nós temos um. Bom. Natal. Feliz. Natal. 2026. Tá. Chegando. Feliz. Natal","3","2025-11-18T00:41:44Z","2025-11-18T00:41:44Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@IgorTrajano","UC_TBPDQ78mbEGvY598XFPVw","http://www.youtube.com/@IgorTrajano","Wititi🎆🎇🎉🙏⭐💫","4","2025-11-11T22:49:29Z","2025-11-11T22:49:29Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@ever5103","UChiaDn4q8dFGRx4dUqiDNmA","http://www.youtube.com/@ever5103","Vamos praticar a letra desta canção","4","2024-12-25T01:37:30Z","2024-12-25T01:37:30Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
"@josuegoncalvesrjma","UC2qJXFy--mCCyA_IbjuRTMw","http://www.youtube.com/@josuegoncalvesrjma","Feliz Natal a todos!!!!!?","5","2024-12-25T01:04:42Z","2024-12-25T01:04:42Z","True","True","0","0","[]","S6YN1y0esvo","Músicas Natalinas Em Português 🎅 Feliz Natal 2026  | MELHORES MUSICAS DE NATAL 2025 | BEST PLAYLIST®","1","Mais novos"
