rank,title,link,object_id,score,comments,author,created,created_at_i,story_text,comment_text,num_points,story_id,story_title,story_url,parent_id,relevancy_score,termo
1,Lawmakers begin bipartisan push to cut off police access to military-style gear,https://www.nytimes.com/2020/06/01/us/politics/police-military-gear.html,23392393,581,324,miles,2020-06-02T15:53:41Z,1591113221,,,581,23392393,,,,0,bipa
2,Tillis Releases Text of Bipartisan Legislation to Fight Illegal Streaming,https://www.tillis.senate.gov/2020/12/tillis-releases-text-of-bipartisan-legislation-to-fight-illegal-streaming-by-criminal-organizations,25506998,526,467,totaldude87,2020-12-22T15:17:46Z,1608650266,,,526,25506998,,,,0,bipa
3,Senators introduce bipartisan antitrust bill to promote app store competition,https://www.blumenthal.senate.gov/newsroom/press/release/blumenthal-blackburn-and-klobuchar-introduce-bipartisan-antitrust-legislation-to-promote-app-store-competition,28144867,381,367,averysmallbird,2021-08-11T17:20:42Z,1628702442,,,381,28144867,,,,0,bipa
4,Senate passes bipartisan bill to subsidize U.S.-made semiconductor chips,https://www.washingtonpost.com/politics/2022/07/27/senate-chips-funding-bill-pass/,32254681,377,463,lettergram,2022-07-27T18:40:19Z,1658947219,,,377,32254681,,,,0,bipa
5,Bipartisan Legislation to Ban TikTok,https://www.rubio.senate.gov/public/index.cfm/2022/12/rubio-gallagher-introduce-bipartisan-legislation-to-ban-tiktok,33971431,285,422,jmsflknr,2022-12-13T16:47:16Z,1670950036,,,285,33971431,,,,0,bipa
6,A bipartisan plan to end surprise ER bills,https://www.vox.com/policy-and-politics/2018/9/21/17887692/voxcare-surprise-er-bills-senate,18097516,172,151,jseliger,2018-09-28T22:19:13Z,1538173153,,,172,18097516,,,,0,bipa
7,Senators strike bipartisan deal for ban on stock trading by members of Congress,https://www.cnbc.com/2024/07/10/senators-strike-bipartisan-deal-for-a-ban-on-stock-trading-by-members-of-congress.html,40929679,128,53,donsupreme,2024-07-10T18:08:25Z,1720634905,,,128,40929679,,,,0,bipa
8,The Reason Washington Is Silent on the FTX Fiasco - Bipartisan Donations,https://www.politico.com/news/magazine/2022/12/09/crypto-scandal-sam-bankman-fried-ftx-00073178,33944543,84,43,alephnerd,2022-12-11T16:25:22Z,1670775922,,,84,33944543,,,,0,bipa
9,Minimum bipartite matching via Riemann optimization (2023),https://ocramz.github.io/posts/2023-12-21-assignment-riemann-opt.html,42603443,80,23,f1shy,2025-01-05T17:45:24Z,1736099124,,,80,42603443,,,,0,bipa
10,SOPA on the ropes? Bipartisan alternative to 'Net censorship emerges,http://arstechnica.com/tech-policy/news/2011/12/sopa-on-the-ropes-bipartisan-alternative-to-net-censorship-emerges.ars,3302088,62,16,evo_9,2011-12-02T00:15:30Z,1322784930,,,62,3302088,,,,0,bipa
