"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"R35r","https://itunes.apple.com/br/reviews/id1793812434","1","Mais uma bandida que estorque cobrando taxas abusivas","Taxa de transferência abusiva rede plasma 120x maior rede sol 6x acima rede bep20 7x valor acima tão passando
Fome avisem!","0","2025-11-20T17:20:56-07:00","13422178527","4.4.0","0","1","Mais novos"
"1nordestino","https://itunes.apple.com/br/reviews/id1410226016","1","Problema","Não recomendo, estou com problema e eles não ajudam","0","2025-05-13T17:00:29-07:00","12653272312","3.133.0","0","1","Mais novos"
"Andre calado","https://itunes.apple.com/br/reviews/id1649680118","1","Estorno depósito Fiat Brl","Fiz um depósito dia 22/01 com cpf diferente da minha conta e até dia 14/02 não tive o reembolso… Binance o estorno é na HORA","0","2025-02-14T05:22:01-07:00","12309749568","3.127.0","0","1","Mais novos"
"Marina18999","https://itunes.apple.com/br/reviews/id1287899620","5","Ótimo app para cripto! 👍","Eu venho usando o KuCoin há algum tempo e tem sido uma experiência incrível. 🎉 

Não se esqueça de usar o código letsgooo ao se registrar para obter um desconto de 10% na comissão de negociação e recompensa de até 700$ após o primeiro depósito. As taxas de comissão são as melhores que você encontrará, geralmente variando entre 0.1% e 0.2%. As funções são intuitivas e fáceis de usar, tornando a negociação de criptomoedas uma brisa. 💵","0","2025-02-06T04:17:03-07:00","12277499501","3.121.3","0","1","Mais novos"
"Cavbranca","https://itunes.apple.com/br/reviews/id1414826756","4","Futuros","Dificuldade de colocar a grade no gráfico para acompanhar a operação","0","2025-01-17T01:38:27-07:00","12194485402","3.109.0","0","1","Mais novos"
"vitorcolombo","https://itunes.apple.com/br/reviews/id660263695","1","Cu coin","Pessimo, transferi da Binance para a plataforma deles e não chegou, além de ser nada intuitivo o app","0","2025-01-08T14:46:48-07:00","12161101010","3.109.0","0","1","Mais novos"
"alexandrelacerda","https://itunes.apple.com/br/reviews/id645939804","1","Plataforma atrasada e burocrática","Pra criar uma nova conta que foi excluída há anos precisa ter outro e-mail e outro número de telefone. Imagina ter que criar um novo e-mail e um novo chip só para ter conta na Kucoin. Usem Binance , Gate.io e Kraken que respeitam o cliente e oferecem soluções que acompanham o nosso tempo.","0","2025-01-02T06:21:43-07:00","12135691281","3.109.0","0","1","Mais novos"
"17 savagegeee","https://itunes.apple.com/br/reviews/id1719334704","5","Good","Bom app","0","2024-12-09T16:58:03-07:00","12045472569","3.109.0","0","1","Mais novos"
"felipe_rosa4","https://itunes.apple.com/br/reviews/id464492272","5","God","God","0","2024-12-04T07:53:57-07:00","12025085278","3.109.0","0","1","Mais novos"
"WallaceMouraRN","https://itunes.apple.com/br/reviews/id1628499523","1","Brasileiros não conseguem sacar!","Não recomendo esse app para brasileiros porque depois que investir não tem mais como sacar em Real para sua conta, ou seja, vai perder o seu dinheiro! Além que não oferecem suporte em português e não me ajudaram quando precisei! 😠😖😣😤","0","2024-09-02T09:22:50-07:00","11681357219","3.109.0","0","1","Mais novos"
