"reviewId","userId","userName","userImage","content","score","thumbsUpCount","thumbsDownCount","at","date","url","replyContent","repliedAt","appVersion","device","androidOsVersion"
"867a0558-4aa7-418f-a559-3b816ac995ea","","Agatha Costa Nascimento","https://play-lh.googleusercontent.com/a-/ALV-UjWNbfpbN42TNcIZrt7SrdNzJlDhRi0nAySgNvWqk18A_xgXxkbo","Muito bom!","5","0","0","2025-01-17 18:00:04","","","","","1.1.8","",""
"4a1570ad-865a-4f7f-802b-d2ef00ca2c6f","","Gabriel Mansano","https://play-lh.googleusercontent.com/a/ACg8ocLuzZBA9k1NO0t96pO5p5yCApPJb47lX25TxO8lSCXo0z6uUg=mo","Simplesmente maravilhoso, super fácil de usar, uma taxa mínima pra enviar bitcoins, q era oq eu estava procurando, muito obrigado aos desenvolvedores","5","0","0","2025-01-27 20:03:52","","","","","1.1.8","",""
"fd870c92-5d86-443d-a10c-fbe218ae7df2","","Gideao Pereira","https://play-lh.googleusercontent.com/a-/ALV-UjWCdg6RyohtuyMaZ3n7S8wn1CcidToXAvsbZkE8KNGYMwi7XPMz","Top","5","0","0","2025-01-26 10:19:12","","","","","1.1.8","",""
"105ee3e5-1158-4e82-95a3-26b2f758f58a","","Marco Antonio paula","https://play-lh.googleusercontent.com/a/ACg8ocLZGU1XnctCGQTpu97WN-Epkrjxk5A18i4pfdSHk4kZ3x_AQw=mo","Muito bom mesmo !","5","0","0","2025-08-25 12:25:10","","","","","1.1.12","",""
"3c0aa650-831b-4a51-9e72-fec4aed2481d","","Moisses Adenirson","https://play-lh.googleusercontent.com/a/ACg8ocL6MoHwmaQC5DB42C9RWJo8W95S7QvCC5Bh7z0y7M1qzRkR_A=mo","excelente","5","0","0","2025-06-09 09:51:06","","","","","","",""
"8911abe1-eda7-4208-98f5-613855db9511","","Thomaz Lima","https://play-lh.googleusercontent.com/a-/ALV-UjWDh5MYyqXOkatEGgCaWz6Wrc_jKRbH_sXqqqQTHcZ-wFCT5fU2","oferece boas taxas","5","0","0","2025-06-12 12:04:27","","","","","1.1.9","",""
"c899f3b9-90d0-4766-a734-f88afdcbc0a6","","claudio martins santos","https://play-lh.googleusercontent.com/a/ACg8ocIL-EE5gxTSS_Ue-6uH0SZ_RCei0MbL0JGWNGXUN7kCLVOpp5I=mo","novidade","5","0","0","2025-07-08 12:15:33","","","","","1.1.9","",""
"4392fff9-8a46-4387-bbb1-4cbd5be9f09d","","Jeferson Freitas","https://play-lh.googleusercontent.com/a-/ALV-UjVot91vZ4cZrHNE1byWVMTNTL0FhqHLaCWby8icjXnQJpbsXIs","boa","4","0","0","2025-07-13 11:17:21","","","","","1.1.9","",""
"3b204ff4-111e-4844-91be-4ebaa3892a1b","","Delmivan","https://play-lh.googleusercontent.com/a-/ALV-UjVdQWaY-xKG2_4-SGjBabWQyUfTnb8AyNsaomP_O8LPNIF6H5ZW","muito prático , maravilhoso esse aplicativo","5","0","0","2025-07-16 10:22:26","","","","","1.1.9","",""
"22672f1f-fdc4-42d4-afbf-2006a549dc25","","Marcos Fernandes","https://play-lh.googleusercontent.com/a-/ALV-UjURWB1vw93L69fBV2uFc8sMIXpA7deasXeEoc9619ONDKgNSKs","muita acessível","5","0","0","2025-07-20 07:55:19","","","","","1.1.8","",""
