"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Jaque Solar","https://itunes.apple.com/br/reviews/id805472492","5","Ótimo","10","0","2025-08-08T19:52:54-07:00","12993415320","(120) 1.1.20","0","5","Mais votadas"
"Solar 7 App","https://itunes.apple.com/br/reviews/id1669140801","5","Baixe nosso app","Gere proposta solar Grátis!","0","2024-11-28T11:45:01-07:00","12002542969","(74) 1.0.73","0","5","Mais votadas"
