regiao,valor
Pará,100
Roraima,99
Santa Catarina,94
Distrito Federal,93
Acre,92
Rio Grande do Sul,87
São Paulo,86
Mato Grosso,84
Mato Grosso do Sul,83
Tocantins,83
Paraná,82
Espírito Santo,82
Rio Grande do Norte,79
Rio de Janeiro,78
Amazonas,78
Ceará,76
Rondônia,75
Goiás,71
Minas Gerais,70
Alagoas,66
