query,value
bitcoin hoje,100
dolar,48
bitcoin dolar,47
bitcoin dólar,33
dólar,33
bitcoin usd,20
dólar hoje,19
bitcoin dólar hoje,19
bitcoin valor,17
bitcoin dolar hoje,15
bitcoin real,15
dolar hoje,14
cotação bitcoin,12
bitcoin hoje usd,10
ethereum,9
bitcoin em dolar,8
bitcoin agora,7
bitcoin preço,7
bitcoin real hoje,7
valor do bitcoin,7
