regiao,valor
Rio Grande do Norte,100
Paraíba,71
Rondônia,70
Alagoas,68
Pernambuco,67
Bahia,67
Santa Catarina,66
Ceará,64
Amazonas,62
Goiás,62
Sergipe,61
Piauí,61
Distrito Federal,60
São Paulo,58
Maranhão,55
Mato Grosso,55
Mato Grosso do Sul,54
Rio de Janeiro,53
Paraná,53
Pará,52
Rio Grande do Sul,51
Espírito Santo,49
Minas Gerais,48
Tocantins,46
Roraima,0
