"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"Caaprods","https://itunes.apple.com/br/reviews/id516237305","1","Péssimo","Eles não te orientam como se joga, vc fica perdido","0","2016-07-24T03:52:04-07:00","1418914177","1.8","0","2","Mais antigos"
"Shiirowl","https://itunes.apple.com/br/reviews/id461776570","1","Ruim.","Controles confusos, história vaga, não tem explicações. O jogador precisa se virar sozinho pra aprender, praticamente um jogo em construção","0","2016-08-07T13:38:48-07:00","1428843369","1.8","0","2","Mais antigos"
"Italoerika","https://itunes.apple.com/br/reviews/id445266935","2","Bom","Só está travando muito quando está acima de 8000 pontos.
Os comandos param de funcionar.","0","2016-09-15T12:36:07-07:00","1450276735","1.8.2","0","2","Mais antigos"
"Tchelas","https://itunes.apple.com/br/reviews/id434527828","5","Bom pra caramba","Muito booooooommm","0","2016-09-17T16:33:32-07:00","1451448009","1.8.2","0","2","Mais antigos"
"Oi cheio","https://itunes.apple.com/br/reviews/id450625361","3","Muito legal o projeto","O projeto de jogo é muito legal , principalmente por ser brasileiro mas é um pouco enjoativo","0","2016-09-17T19:01:16-07:00","1451497724","1.8.2","0","2","Mais antigos"
"Mathoneitor","https://itunes.apple.com/br/reviews/id391133474","4","É mt bom","Mas é dificil ouvir musica cm o aplicativo","0","2016-09-27T13:02:25-07:00","1456894082","1.8.3","0","2","Mais antigos"
"Leonextreme","https://itunes.apple.com/br/reviews/id453111896","1","Uma merda","Cara eu n comsigo dar sequer um golpe","0","2016-10-07T03:08:03-07:00","1462548487","1.8.4","0","2","Mais antigos"
"Daniel/Br","https://itunes.apple.com/br/reviews/id519933622","4","Pode melhorar","Acho q deveria haver um jeito mais fácil de conseguir coins","0","2016-11-17T04:53:45-07:00","1486096261","1.8.4","0","2","Mais antigos"
"pedrovcn","https://itunes.apple.com/br/reviews/id443388292","5","Mto bom","Muito bom o game. Viciante!","0","2016-11-25T09:33:54-07:00","1490836386","1.8.4","0","2","Mais antigos"
"gmochi","https://itunes.apple.com/br/reviews/id500484662","4","Muito divertido","O jogo é uma mistura de plataforma 2D com ação e aventura. Percebesse a expressão do autor em querer mostrar um mundo desconhecido habituado por criaturas pré-históricas, onde o seu objetivo é tentar salvar o mesmo do caos e passar por todos os obstáculos necessário, e mesmo que você morra, sempre haverá uma outra chance, e é isso que torna o jogo especial. 
Para um melhor desenvolvimento do jogo, a história deveria ser mais bem elaborada, e, pelo menos, mostrar o contexto em que situa. Mas quem sabe para a próxima versão...","0","2016-12-01T05:44:29-07:00","1494037394","1.8.4","0","2","Mais antigos"
"Camihnyan","https://itunes.apple.com/br/reviews/id439402210","5","Melhor jogo","Me deu uma sensação de nostalgia com aventura. Simplesmente incrível!","0","2016-12-25T14:40:23-07:00","1508971359","1.8.5","0","2","Mais antigos"
"lVergil","https://itunes.apple.com/br/reviews/id435851268","5","MUITO LOKO","Gráficos muito bons, jogabilidade incrível!","0","2017-02-25T19:34:57-07:00","1552697006","1.8.7","0","2","Mais antigos"
"Paulocosta96","https://itunes.apple.com/br/reviews/id298363116","5","Amazing!","I love the all the pixelart of the game. This game is amazing! 

When i setup the effects volume, would be good to listen some sound effects to do the equalization with the game music.","0","2017-04-04T10:05:48-07:00","1580668203","1.8.7","0","2","Mais antigos"
"El Caio Sanchez","https://itunes.apple.com/br/reviews/id452000842","5","Awesome","Great game!","0","2017-07-30T12:50:48-07:00","1705313270","1.8.8","0","2","Mais antigos"
"Gustavo Almeida A.","https://itunes.apple.com/br/reviews/id593933640","5","Muito bem polido","Marquinhos é o cara. Jogo impecável.","0","2018-04-23T08:07:42-07:00","2458606109","1.9.2","0","2","Mais antigos"
"koud 12","https://itunes.apple.com/br/reviews/id387157054","1","Grande atualização","Parou de funcionar, quando abre o jogo e escolhe o personagem pra jogar, ele fecha.","1","2018-06-27T12:32:24-07:00","2783595253","1.9.3","1","2","Mais antigos"
"gxsta16","https://itunes.apple.com/br/reviews/id600368192","1","?????????","Fecha sozinho na hora de selecionar o personagem, já desinstalei e instalei de novo e nada.","0","2019-12-16T17:19:23-07:00","5281466906","1.9.6","0","2","Mais antigos"
"louca de erva","https://itunes.apple.com/br/reviews/id756867271","5","Parabéns","Muito bom. Potencial pra crescer","0","2019-12-31T18:05:43-07:00","5344872483","1.9.6","0","2","Mais antigos"
"patata06","https://itunes.apple.com/br/reviews/id709197170","5","Arroz","Jogo melhor que Minecraft e fortinite bem melhor recomendo espero que minha mãe me deixe jogar","0","2020-01-11T17:03:45-07:00","5391966568","1.9.6","0","2","Mais antigos"
"ninja dos lokos do lokos","https://itunes.apple.com/br/reviews/id1010412745","5","Legal","Bom","1","2020-01-23T04:48:47-07:00","5438610886","1.9.6","0","2","Mais antigos"
