"autor","autorId","autorUrl","comentario","likes","publicado_em","atualizado_em","canReply","isPublic","totalReplyCount","replyCount","replies","video_id","video_titulo"
"@shaamjaan2667","UC9Qsu0LQdBiR68hbYn2lYTg","http://www.youtube.com/@shaamjaan2667","Moye moye ho gya 
😂😅😅😂","57","2024-02-03T05:56:31Z","2024-02-03T05:56:31Z","True","True","2","2","[{'autor': '@MahamadAhamboubar', 'comentario': '😂😂😂😂😂😂😢😢😮😮💔💔💔😭😭😭', 'likes': 1, 'publicado_em': '2024-10-08T08:49:32Z'}, {'autor': '@РоманСадыгов-ц5н', 'comentario': '😊😊😊😊😊😊', 'likes': 0, 'publicado_em': '2024-12-21T05:12:43Z'}]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@P.S-z5e","UCRJd7yaU2Tl6V8vZenC6XxQ","http://www.youtube.com/@P.S-z5e","👍🏻👍🏻😂😂😂😂","16","2022-11-11T10:42:48Z","2022-11-11T10:42:48Z","True","True","1","1","[{'autor': '@AndreaKaralova-ft9mq', 'comentario': 'Ahjo', 'likes': 1, 'publicado_em': '2024-02-01T05:13:48Z'}]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@audreyhigbie9328","UCxM63MGOiWf-WjzNbJETu3g","http://www.youtube.com/@audreyhigbie9328","Rood","11","2022-06-26T23:53:33Z","2022-06-26T23:53:33Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@sudharshanupare6761","UC8oICh1hBhy-Xt9__spig4w","http://www.youtube.com/@sudharshanupare6761","😂😁😄😄😄😄","9","2023-06-14T14:05:12Z","2023-06-14T14:05:12Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@PVerma-ev5in","UC4KQFFO-0HluXbkJ1Ib1ZEg","http://www.youtube.com/@PVerma-ev5in","Controversy 6 Ji#","7","2022-10-03T05:07:54Z","2022-10-03T05:07:54Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@ساليطه-ن7ط","UCUtzM6HHXRipVhlttb-bGOA","http://www.youtube.com/@%D8%B3%D8%A7%D9%84%D9%8A%D8%B7%D9%87-%D9%867%D8%B7","نتلوبوالبيززظ😢😢😢😢😢","6","2023-05-27T09:00:44Z","2023-05-27T09:00:44Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@officail_balliram_patel","UCcfEpOQuwnWq9gH4z30bgsQ","http://www.youtube.com/@officail_balliram_patel","Dimag Sahi lalaya","5","2022-08-23T15:07:28Z","2022-08-23T15:07:28Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@shankarsinghsingh8746","UCEoI4NCvK93Jz64BMRZ_N4w","http://www.youtube.com/@shankarsinghsingh8746","Super","5","2022-10-05T16:53:59Z","2022-10-05T16:53:59Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@mimotito6178","UCLgDY0w2aVzToKejKndOYvw","http://www.youtube.com/@mimotito6178","Hhhhhhh 😂🤣🤣","4","2022-12-01T07:53:10Z","2022-12-01T07:53:10Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@GoldenCheese-i1w","UC_lCxUkyaCPpwBG69i5Bkig","http://www.youtube.com/@GoldenCheese-i1w","poor Guy😭😭⁉️","4","2022-06-06T23:03:36Z","2022-06-06T23:03:36Z","True","True","2","2","[{'autor': '@DanielaSanchez-lj4vh', 'comentario': '😅🐒', 'likes': 2, 'publicado_em': '2022-06-08T00:30:28Z'}, {'autor': '@blackclovergs5715', 'comentario': 'G DC kfxmh', 'likes': 0, 'publicado_em': '2022-06-15T11:29:09Z'}]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@emadulislam7166","UClCTI6jncHqaN6Tpf-PB8Wg","http://www.youtube.com/@emadulislam7166","Ok","3","2023-03-17T14:49:11Z","2023-03-17T14:49:11Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@uvkandhal-vf2xi","UCYcDF2K7BOhyiKcQ6v56yKQ","http://www.youtube.com/@uvkandhal-vf2xi","🎉🎉🎉","3","2023-03-09T04:27:08Z","2023-03-09T04:27:08Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@fyhaahasan4964","UChB186gOpq5oeX7tRQwXscg","http://www.youtube.com/@fyhaahasan4964","ما إسمك أنا متابع جديدة 😎😍🤗😀🤣😂","1","2025-01-15T12:21:09Z","2025-01-15T12:21:09Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@Mira-le9uf","UCKXSMcaF1uPHwtTY0vcp9gg","http://www.youtube.com/@Mira-le9uf","👍👍👍👍👍👍","1","2022-12-02T10:49:49Z","2022-12-02T10:49:49Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@9TOWNBOY","UCBPVTBLv4oAMwvRxckQuDuQ","http://www.youtube.com/@9TOWNBOY","""How both greed and swindling works in one video""","0","2025-03-31T17:24:42Z","2025-03-31T17:24:42Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@احمدراغب-ح2ك","UClGiQd_L8Us7LEmKRzJ1Dqw","http://www.youtube.com/@%D8%A7%D8%AD%D9%85%D8%AF%D8%B1%D8%A7%D8%BA%D8%A8-%D8%AD2%D9%83","😂😂😢","0","2023-07-14T09:25:58Z","2023-07-14T09:25:58Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@Kellyn.lup1","UCdjivU6O-DyKBSwaOdw6yXQ","http://www.youtube.com/@Kellyn.lup1","😢😢😢","0","2024-04-15T02:04:16Z","2024-04-15T02:04:16Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@SHOOGRAME","UC0FBadYNCpXxiGtEGXrIFUg","http://www.youtube.com/@SHOOGRAME","😂😂😂😂😂😂😂😂😂😂😂😂","0","2023-07-10T10:52:45Z","2023-07-10T10:52:45Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
"@Tuyetang-jh6sm","UCNJaBAjcYhU5GD4k53nAJ5w","http://www.youtube.com/@Tuyetang-jh6sm","😢😢😢😢😢😢😢😢😢😢😢😢","0","2023-06-12T03:47:49Z","2023-06-12T03:47:49Z","True","True","0","0","[]","8aYr2ueCFvs","HOW CRYPTOCURRENCY WORKS  💸💶"
