"author","authorUri","rating","title","content","votes","date","id","version","voteSum","ordenacao","ordenacao_nome"
"ifpmiran","https://itunes.apple.com/br/reviews/id600343727","1","O app está crachando","Péssimo!! Me mudei recentemente para uma cidade atendida pela ENEL e não consigo sequer fazer meu cadastro no app ou no site para ter acesso aos boletos ou coisas do tipo.","0","2025-10-06T09:08:58-07:00","13232000124","11.87","0","2","Mais antigos"
"Biricu","https://itunes.apple.com/br/reviews/id1137722087","1","Não serve pra nada","O app só serve pra ocupar espaço no seu celular, NADA FUNCIONA! só não dou 0 estrelas porque não tem essa opção","0","2025-10-06T10:25:30-07:00","13232282396","11.87","0","2","Mais antigos"
"Inválido o","https://itunes.apple.com/br/reviews/id1841054051","1","Pessimo","O atendimento na loja física já é ruim. O do app então, pela misericórdia. A conta vem uma fortuna e nem dignidade em prestarem um bom atendimento eles tem. O app trava, fala que tem que atualizar e não consigo atualizar.","0","2025-10-07T05:36:50-07:00","13235468092","11.91","0","2","Mais antigos"
"nocudobozo","https://itunes.apple.com/br/reviews/id1184260314","3","Bom","Quando está funcionando é muito útil. Muitas vezes fecha sozinho o aplicativo mas consigo acessar o necessário","0","2025-10-08T09:36:49-07:00","13240627404","11.91","0","2","Mais antigos"
"MapôaStudio","https://itunes.apple.com/br/reviews/id606138992","1","Como é?","Após última atualização,  não está funcionando..","0","2025-10-08T18:06:40-07:00","13242104161","11.91","0","2","Mais antigos"
"nathaliacsm","https://itunes.apple.com/br/reviews/id423381341","1","O pior aplicativo","Nunca consigo acessar as informações da minha conta, pegar faturas e outras necessidades. O app está sempre instável. Pessimo servico!!!!!!","0","2025-10-09T06:39:37-07:00","13244157699","11.91","0","2","Mais antigos"
"covd-24","https://itunes.apple.com/br/reviews/id1147699730","1","Péssimo.","Igual ao site. Não funciona nada. 
Horrível. Igual ao serviço da empresa.","0","2025-10-09T09:23:15-07:00","13244782208","11.91","0","2","Mais antigos"
"felipeaquino99","https://itunes.apple.com/br/reviews/id645285675","1","Melhore","Aplicativo horrível, nunca está bom para uso","0","2025-10-10T00:14:45-07:00","13247207969","11.91","0","2","Mais antigos"
"..02244","https://itunes.apple.com/br/reviews/id1701841606","1",".","Não dá nem pra usar o aplicativo, o código que eles mesmo mandam não funciona, péssimo aplicativo","0","2025-10-13T13:45:57-07:00","13262757710","11.91","0","2","Mais antigos"
"Wagner Calazans","https://itunes.apple.com/br/reviews/id628216270","5","Pq não pode tira print?","Pq não pode tira print? 
Qual o risco? Alguém pagar a minha conta de luz?

Mas para melhorar o app precisa ser mais rápido e não deslogar toda vez que eu vou acessar!","0","2025-10-24T08:04:45-07:00","13308245944","11.91","0","2","Mais antigos"
"lyrahdm","https://itunes.apple.com/br/reviews/id965413847","1","Não funciona","Tento usar e ele fica reloading eternamente. Não tem condições de fazer nada, e o mesmo acontece no site.","0","2025-11-04T09:35:24-07:00","13356270128","11.91","0","2","Mais antigos"
"lki@bol","https://itunes.apple.com/br/reviews/id404239342","1","Péssimo assim como Enel","Não funciona há muito tempo.","0","2025-11-05T02:12:20-07:00","13358911625","11.91","0","2","Mais antigos"
"Pires02","https://itunes.apple.com/br/reviews/id459568994","1","Nunca funciona","Precisa melhorar","0","2025-11-08T06:08:46-07:00","13372207847","11.91","0","2","Mais antigos"
"Cristiane Portugal Diniz","https://itunes.apple.com/br/reviews/id928822792","1","Funcionalidade do aplicativo","Muito ruim, até hoje não consegui usar o aplicativo. Sempre indisponível.","0","2025-11-12T11:51:52-07:00","13389965380","11.91","0","2","Mais antigos"
"Dezuita","https://itunes.apple.com/br/reviews/id1816601142","1","App muito ruim e tudo dá errado","Como sempre foi um pessimo aplicativo para usar.","0","2025-11-29T11:59:03-07:00","13455960328","11.91","0","2","Mais antigos"
"Patricia Formiga Contreiras","https://itunes.apple.com/br/reviews/id224657458","1","Não serve para nada","Não consigo fazer nada no aplicativo. Toda opção que seleciono dá erro. Estou há cinco dias esperando religação de luz para um apartamento no qual já estou morando, e nem isso consigo acompanhar. O aplicativo é péssimo, assim como a empresa. Difícil.","0","2025-12-01T07:06:35-07:00","13462851251","11.91","0","2","Mais antigos"
"RafaelMaiworm","https://itunes.apple.com/br/reviews/id457626406","1","Erro","Nao funciona na hora de informar falta de luz","0","2025-12-02T01:27:37-07:00","13465765858","11.91","0","2","Mais antigos"
"Dn serrote","https://itunes.apple.com/br/reviews/id1106150296","1","Horrível","Horrível","0","2025-12-02T14:45:31-07:00","13468099205","11.91","0","2","Mais antigos"
"Jeannbrasil","https://itunes.apple.com/br/reviews/id1370163072","1","App ridículo","Aplicativo absurdamente ruim, fecha sozinho e do nada e quando conseguimos entrar no cadastro o sistema não deixa fazer nada. 
Inadmissível !","0","2025-12-07T15:26:11-07:00","13487837927","11.91","0","2","Mais antigos"
"Thiago da Cruz","https://itunes.apple.com/br/reviews/id114083061","3","Não é  possível dar print no app","Gostaria de saber o motivo de não ser possível pintar as telas do aplicativo, solicito que ativem novamente a possibilidade para que eu possa salvar as informações de meu interesse.","0","2025-12-09T06:41:16-07:00","13493829873","11.91","0","2","Mais antigos"
