"query","value"
"bitcoin hoje","771950"
"bitcoin png","487050"
"bitcoin grafico","384550"
"bitcoin logo","374450"
"bitcoin moeda","330150"
"mercado bitcoin","281200"
"valor bitcoin","278600"
"bitcoin real","268050"
"bitcoin wallpaper","212850"
"meme bitcoin","206000"
"bitcoin gráfico","203050"
"mineração bitcoin","193150"
"mineração","192700"
"bitcoin dolar","165550"
"dolar","160000"
"bitcoin agora","145900"
"mineração de bitcoin","145400"
"criptomoedas","140700"
"ethereum","139750"
"bitcoin brasil","127850"
