"query","value"
"mercado bitcoin","310400"
"bitcoin tattoo","278250"
"bitcoin usd","207950"
"gráfico bitcoin dólar","178900"
"bitcoin gif","157200"
"solana","150600"
"ethereum","143750"
"preço do bitcoin","141450"
"bitcoin imagem","55300"
"bitcoin hoje usd","33150"
"1 bitcoin em real","26750"
"mineradora de bitcoin","25300"
"grafico bitcoin agora","22800"
"satoshi nakamoto","22650"
"bitcoin autocustódia","14700"
"bitcoin logo png","14650"
"quanto vale um bitcoin","110"
"grafico bitcoin hoje","60"
"logo bitcoin","60"
