"query","value"
"bitcoin hoje","100"
"bitcoin dolar","55"
"dolar","53"
"bitcoin dólar","41"
"bitcoin dólar hoje","23"
"dólar hoje","23"
"valor bitcoin","23"
"bitcoin usd","22"
"bitcoin real","18"
"bitcoin hoje dolar","17"
"dolar hoje","17"
"cotação bitcoin","13"
"ethereum","11"
"bitcoin hoje usd","10"
"bitcoin em dolar","10"
"bitcoin hoje real","9"
"valor do bitcoin","9"
"bitcoin hoje valor","9"
"grafico bitcoin","9"
"bitcoin preço","9"
