"regiao","valor"
"Tocantins","100"
"Roraima","97"
"Acre","89"
"Pará","87"
"Distrito Federal","80"
"Mato Grosso","77"
"Mato Grosso do Sul","75"
"Maranhão","74"
"Rondônia","73"
"Santa Catarina","72"
"Amazonas","64"
"Rio Grande do Norte","61"
"Ceará","61"
"Rio Grande do Sul","60"
"Amapá","60"
"Paraná","59"
"Piauí","58"
"Espírito Santo","58"
"Alagoas","57"
"São Paulo","57"
