"data","valor"
"2025-11-12","0"
"2025-11-13","86"
"2025-11-14","81"
"2025-11-15","0"
"2025-11-16","0"
"2025-11-17","88"
"2025-11-18","87"
"2025-11-19","100"
"2025-11-20","94"
"2025-11-21","0"
"2025-11-22","0"
"2025-11-23","92"
"2025-11-24","86"
"2025-11-25","0"
"2025-11-26","0"
"2025-11-27","81"
"2025-11-28","59"
"2025-11-29","61"
"2025-11-30","56"
"2025-12-01","64"
"2025-12-02","68"
"2025-12-03","59"
"2025-12-04","56"
"2025-12-05","65"
"2025-12-06","50"
"2025-12-07","45"
"2025-12-08","56"
"2025-12-09","50"
"2025-12-10","45"
"2025-12-11","54"
"2025-12-12","73"
