"regiao","valor"
"Tocantins","100"
"Pará","99"
"Roraima","85"
"Maranhão","73"
"Mato Grosso","70"
"Amapá","68"
"Mato Grosso do Sul","65"
"Rondônia","65"
"Ceará","62"
"Amazonas","61"
"Santa Catarina","60"
"Acre","60"
"Rio Grande do Sul","59"
"Distrito Federal","58"
"Rio Grande do Norte","54"
"Alagoas","52"
"Piauí","52"
"Espírito Santo","51"
"Paraíba","49"
"São Paulo","48"
