"regiao","valor"
"Rondônia","100"
"Pará","89"
"Mato Grosso","70"
"Tocantins","69"
"Espírito Santo","66"
"Maranhão","66"
"Distrito Federal","65"
"São Paulo","64"
"Rio Grande do Sul","64"
"Mato Grosso do Sul","61"
"Paraná","60"
"Goiás","60"
"Ceará","57"
"Rio de Janeiro","57"
"Santa Catarina","56"
"Pernambuco","55"
"Amazonas","55"
"Minas Gerais","54"
"Rio Grande do Norte","53"
"Paraíba","46"
