"query","value"
"bitcoin hoje","100"
"dolar","26"
"bitcoin dolar","25"
"mercado bitcoin","21"
"bitcoin valor","21"
"bitcoin real","16"
"bitcoin grafico","16"
"bitcoin dólar","13"
"bitcoin cotação","13"
"bitcoin agora","12"
"ethereum","11"
"valor do bitcoin","10"
"bitcoin gráfico","9"
"preço bitcoin","9"
"bitcoin dolar hoje","9"
"dolar hoje","9"
"bitcoin hoje dólar","7"
"valor bitcoin hoje","6"
"dólar hoje","6"
"bitcoin hoje real","6"
