"data","valor"
"2025-11-12","40"
"2025-11-13","46"
"2025-11-14","67"
"2025-11-15","47"
"2025-11-16","47"
"2025-11-17","59"
"2025-11-18","65"
"2025-11-19","61"
"2025-11-20","64"
"2025-11-21","100"
"2025-11-22","67"
"2025-11-23","57"
"2025-11-24","59"
"2025-11-25","54"
"2025-11-26","52"
"2025-11-27","55"
"2025-11-28","44"
"2025-11-29","32"
"2025-11-30","33"
"2025-12-01","62"
"2025-12-02","54"
"2025-12-03","43"
"2025-12-04","41"
"2025-12-05","43"
"2025-12-06","36"
"2025-12-07","33"
"2025-12-08","39"
"2025-12-09","41"
"2025-12-10","38"
"2025-12-11","39"
"2025-12-12","36"
