"query","value"
"bitcoin hoje","100"
"bitcoin real","32"
"bitcoin dólar","28"
"gráfico bitcoin","26"
"bitcoin grafico","25"
"valor bitcoin","25"
"bitcoin dolar","23"
"bitcoin agora","21"
"bitcoin hoje dólar","20"
"bitcoin hoje real","17"
"moeda bitcoin","15"
"logo bitcoin","14"
"bitcoin png","14"
"bitcoin usd","14"
"bitcoin hoje gráfico","13"
"valor bitcoin hoje","11"
"valor do bitcoin","11"
"bitcoin quanto vale","11"
"bitcoin agora hoje","11"
"mercado bitcoin","9"
